augment2_grp,Value_Count,average_placement
TFT6_Augment_TriForce2,1,2.0
TFT8_Augment_PranksterEmblem2,7,2.57
TFT6_Augment_CyberneticImplants3,8,2.88
TFT8_Augment_SonaExile,10,2.9
TFT8_Augment_ThreatMaxHealth,20,2.9
TFT6_Augment_Featherweights2,1,3.0
TFT8_Augment_BrawlerEmblem2,44,3.11
TFT8_Augment_RammusCarry,7,3.14
TFT8_Augment_DeadeyeEmblem2,4,3.25
TFT8_Augment_DefenderEmblem,9,3.44
TFT6_Augment_Featherweights3,2,3.5
TFT8_Augment_MascotEmblem2,4,3.5
TFT8_Augment_BelVethVoidmother,9,3.56
TFT8_Augment_OxForceEmblem2,15,3.6
TFT8_Augment_JannaCarry,3,3.67
TFT6_Augment_WoodlandCharm,21,3.71
TFT7_Augment_BigFriend,31,3.71
TFT8_Augment_ChannelerEmblem2,14,3.71
TFT8_Augment_OxForceTrait,12,3.75
TFT8_Augment_RenegadePartners,103,3.78
TFT7_Augment_BigFriend2,45,3.8
TFT8_Augment_LeonaSupport,60,3.83
TFT8_Augment_RivenReverberation,7,3.86
TFT6_Augment_Battlemage3,37,3.89
TFT8_Augment_SennaSupport,46,3.91
TFT8_Augment_HeartTrait,13,3.92
TFT8_Augment_ChoGathCarry,8,4.0
TFT6_Augment_GachaAddict,29,4.0
TFT8_Augment_SupersTrait2,2,4.0
TFT8_Augment_ApheliosSupport,33,4.0
TFT8_Augment_ExoPrimeEmblem2,10,4.0
TFT6_Augment_Battlemage1,48,4.02
TFT8_Augment_SorakaCarry,39,4.03
TFT6_Augment_CyberneticShell2,18,4.06
TFT8_Augment_StarGuardianEmblem,14,4.07
TFT7_Augment_TomeOfTraits2,46,4.09
TFT6_Augment_Battlemage2,128,4.09
TFT7_Augment_BandOfThieves1,93,4.1
TFT6_Augment_RadiantRelics,78,4.1
TFT8_Augment_BrawlerEmblem,98,4.11
TFT8_Augment_JaxSupport,158,4.11
TFT7_Augment_ScopedWeapons1,72,4.12
TFT6_Augment_SecondWind2,93,4.13
TFT6_Augment_Distancing2,53,4.13
TFT8_Augment_MascotTrait,14,4.14
TFT6_Augment_CelestialBlessing3,57,4.16
TFT8_Augment_DefenderTrait,6,4.17
TFT7_Augment_CursedCrown,12,4.17
TFT8_Augment_ZoeDoubleTrouble,29,4.17
TFT8_Augment_OxForceEmblem,55,4.18
TFT6_Augment_Diversify1,45,4.18
TFT8_Augment_SyndraSupport,37,4.19
TFT6_Augment_MakeshiftArmor1,48,4.19
TFT6_Augment_BlueBattery1,85,4.19
