placement,group,comp,grp_count,grp_placement,mode
4,-1,"Aphelios, Camille, Jax, Leona, Sett, Viego",,,"Alistar, Annie, Ekko, Leblanc, Leona, Zed, Zoe"
5,-1,"Annie, Aphelios, Ekko, Leblanc, Nunu, Soraka, Zoe",,,"Alistar, Annie, Ekko, Leblanc, Leona, Zed, Zoe"
5,-1,"Alistar, Annie, Ekko, Leblanc, Nunu, Yasuo, Zac, Zed, Zoe",,,"Alistar, Annie, Ekko, Leblanc, Leona, Zed, Zoe"
5,-1,"Alistar, Annie, Ekko, Leblanc, Leona, Nunu, Vi, Zoe",,,"Alistar, Annie, Ekko, Leblanc, Leona, Zed, Zoe"
5,-1,"Fiddlesticks, Janna, LeeSin, Malphite, Yasuo",,,"Alistar, Annie, Ekko, Leblanc, Leona, Zed, Zoe"
5,-1,"Ekko, Leblanc, Riven, Sejuani, Yasuo, Zac, Zed, Zoe",,,"Alistar, Annie, Ekko, Leblanc, Leona, Zed, Zoe"
5,-1,"Aphelios, Draven, Ekko, Fiora, Sejuani, Urgot, Zed, Zoe",,,"Alistar, Annie, Ekko, Leblanc, Leona, Zed, Zoe"
5,-1,"Annie, Ekko, Rell, Sona, Taliyah, Zoe",,,"Alistar, Annie, Ekko, Leblanc, Leona, Zed, Zoe"
5,-1,"Alistar, Annie, Chogath, Rammus, Velkoz",,,"Alistar, Annie, Ekko, Leblanc, Leona, Zed, Zoe"
5,-1,"Leblanc, MissFortune, Nilah, Nunu, Samira, Syndra, Velkoz, Zac",,,"Alistar, Annie, Ekko, Leblanc, Leona, Zed, Zoe"
5,-1,"Ekko, Fiora, Leona, Nilah, Syndra, Vayne, Zed, Zoe",,,"Alistar, Annie, Ekko, Leblanc, Leona, Zed, Zoe"
5,-1,"Alistar, Nunu, Soraka, Syndra, Yuumi, Zac, Zoe",,,"Alistar, Annie, Ekko, Leblanc, Leona, Zed, Zoe"
5,-1,"Alistar, Camille, Ekko, Vi, Viego, Zoe",,,"Alistar, Annie, Ekko, Leblanc, Leona, Zed, Zoe"
5,-1,"Alistar, BelVeth, Ekko, Fiora, Samira, Zed, Zoe",,,"Alistar, Annie, Ekko, Leblanc, Leona, Zed, Zoe"
5,-1,"Alistar, Janna, LeeSin, Riven, Samira, Sejuani, Senna, Vi",,,"Alistar, Annie, Ekko, Leblanc, Leona, Zed, Zoe"
5,-1,"Alistar, Aphelios, Fiddlesticks, Janna, Leona, Nunu, Samira, Sejuani, Vi",,,"Alistar, Annie, Ekko, Leblanc, Leona, Zed, Zoe"
5,-1,"Camille, Ekko, Leblanc, Sona, Soraka, Zed, Zoe",,,"Alistar, Annie, Ekko, Leblanc, Leona, Zed, Zoe"
5,-1,"Ekko, Janna, MissFortune, Sejuani, Sona, Soraka, Urgot, Vi",,,"Alistar, Annie, Ekko, Leblanc, Leona, Zed, Zoe"
5,-1,"Ekko, Jinx, MissFortune, Rell, Riven, Sejuani, Sett",,,"Alistar, Annie, Ekko, Leblanc, Leona, Zed, Zoe"
5,-1,"AurelionSol, Jax, LeeSin, Leona, Riven, Sejuani, Soraka, Vi",,,"Alistar, Annie, Ekko, Leblanc, Leona, Zed, Zoe"
5,-1,"Alistar, Camille, Leona, Nunu, Viego",,,"Alistar, Annie, Ekko, Leblanc, Leona, Zed, Zoe"
5,-1,"Alistar, Annie, Ekko, Leona, Sona, Syndra, Taliyah, Zoe",,,"Alistar, Annie, Ekko, Leblanc, Leona, Zed, Zoe"
5,-1,"Alistar, Annie, Camille, Fiora, Nunu, Viego, Zed",,,"Alistar, Annie, Ekko, Leblanc, Leona, Zed, Zoe"
5,-1,"Fiddlesticks, Leblanc, Mordekaiser, Nilah, Sejuani, Zed, Zoe",,,"Alistar, Annie, Ekko, Leblanc, Leona, Zed, Zoe"
5,-1,"Fiora, Janna, Leblanc, Nilah, Nunu, Sejuani, Yasuo, Zed, Zoe",,,"Alistar, Annie, Ekko, Leblanc, Leona, Zed, Zoe"
5,-1,"Jax, Leblanc, LeeSin, Riven, Sejuani, Sona, Soraka, Zoe",,,"Alistar, Annie, Ekko, Leblanc, Leona, Zed, Zoe"
5,-1,"Alistar, Annie, Fiora, Jax, Sejuani, Viego",,,"Alistar, Annie, Ekko, Leblanc, Leona, Zed, Zoe"
5,-1,"Alistar, Annie, Ekko, Leblanc, Leona, Soraka, Vi, Zoe",,,"Alistar, Annie, Ekko, Leblanc, Leona, Zed, Zoe"
5,-1,"Alistar, Ekko, Leona, Sejuani, Vi, Viego, Zed, Zoe",,,"Alistar, Annie, Ekko, Leblanc, Leona, Zed, Zoe"
5,-1,"Alistar, Annie, Ekko, Leblanc, Urgot, Zed, Zoe",,,"Alistar, Annie, Ekko, Leblanc, Leona, Zed, Zoe"
5,-1,"Alistar, Fiddlesticks, Janna, MissFortune, Sejuani, Vi, Viego",,,"Alistar, Annie, Ekko, Leblanc, Leona, Zed, Zoe"
5,-1,"Alistar, Ekko, Leona, Sejuani, Vi, Yasuo, Zac, Zed, Zoe",,,"Alistar, Annie, Ekko, Leblanc, Leona, Zed, Zoe"
5,-1,"Jax, LeeSin, Leona, Riven, Sejuani, Syndra, Vi",,,"Alistar, Annie, Ekko, Leblanc, Leona, Zed, Zoe"
5,-1,"Jax, Nunu, Riven, Samira, Sejuani, Soraka, Vi",,,"Alistar, Annie, Ekko, Leblanc, Leona, Zed, Zoe"
5,-1,"Camille, Fiora, Sejuani, Urgot, Viego, Zed, Zoe",,,"Alistar, Annie, Ekko, Leblanc, Leona, Zed, Zoe"
5,-1,"Alistar, Chogath, Mordekaiser, Rammus, Sivir, Velkoz",,,"Alistar, Annie, Ekko, Leblanc, Leona, Zed, Zoe"
5,-1,"Alistar, Nilah, Vayne, Vi, Yasuo, Zed, Zoe",,,"Alistar, Annie, Ekko, Leblanc, Leona, Zed, Zoe"
5,-1,"Ekko, Rell, Riven, Sona, Syndra, Taliyah, Vi",,,"Alistar, Annie, Ekko, Leblanc, Leona, Zed, Zoe"
5,-1,"Alistar, Aphelios, Ekko, Riven, Sejuani, Sivir, Vi",,,"Alistar, Annie, Ekko, Leblanc, Leona, Zed, Zoe"
5,-1,"Alistar, Annie, Ekko, Leblanc, Leona, Mordekaiser, Taliyah",,,"Alistar, Annie, Ekko, Leblanc, Leona, Zed, Zoe"
5,-1,"Ekko, Jinx, MissFortune, Riven, Sejuani, Sett, Vi, Zac",,,"Alistar, Annie, Ekko, Leblanc, Leona, Zed, Zoe"
5,-1,"Alistar, Leona, Rell, Riven, Samira, Sivir, Urgot, Vi",,,"Alistar, Annie, Ekko, Leblanc, Leona, Zed, Zoe"
5,-1,"Fiora, LeeSin, Nilah, Vayne, Yasuo, Zac",,,"Alistar, Annie, Ekko, Leblanc, Leona, Zed, Zoe"
5,-1,"AurelionSol, BelVeth, Fiddlesticks, Rammus, Sejuani, Velkoz, Zac",,,"Alistar, Annie, Ekko, Leblanc, Leona, Zed, Zoe"
5,-1,"Aphelios, Camille, Ekko, Leona, Viego, Zed",,,"Alistar, Annie, Ekko, Leblanc, Leona, Zed, Zoe"
5,-1,"Alistar, Annie, Jinx, Leblanc, Rammus, Sona, Taliyah, Zoe",,,"Alistar, Annie, Ekko, Leblanc, Leona, Zed, Zoe"
5,-1,"Jax, Kaisa, Nilah, Sejuani, Vayne",,,"Alistar, Annie, Ekko, Leblanc, Leona, Zed, Zoe"
5,-1,"BelVeth, Ekko, Leona, Nilah, Riven, Sejuani, Syndra, Vayne",,,"Alistar, Annie, Ekko, Leblanc, Leona, Zed, Zoe"
5,-1,"Ekko, Leblanc, Nilah, Vayne, Yasuo, Zac, Zed, Zoe",,,"Alistar, Annie, Ekko, Leblanc, Leona, Zed, Zoe"
5,-1,"Jax, LeeSin, Malphite, Sejuani",,,"Alistar, Annie, Ekko, Leblanc, Leona, Zed, Zoe"
5,-1,"Alistar, Annie, Ekko, LeeSin, Sona, Soraka, Velkoz, Vi, Zoe",,,"Alistar, Annie, Ekko, Leblanc, Leona, Zed, Zoe"
5,-1,"Janna, Jinx, Leona, MissFortune, Samira, Sejuani, Sett, Zed",,,"Alistar, Annie, Ekko, Leblanc, Leona, Zed, Zoe"
5,-1,"Annie, LeeSin, Riven, Sona, Soraka, Zoe",,,"Alistar, Annie, Ekko, Leblanc, Leona, Zed, Zoe"
5,-1,"AurelionSol, Chogath, Ekko, Leona, Vi, Viego",,,"Alistar, Annie, Ekko, Leblanc, Leona, Zed, Zoe"
5,-1,"Draven, Ekko, MissFortune, Mordekaiser, Samira, Sejuani, Vi, Zac",,,"Alistar, Annie, Ekko, Leblanc, Leona, Zed, Zoe"
5,-1,"Leblanc, LeeSin, Rell, Sona, Soraka, Yuumi, Zoe",,,"Alistar, Annie, Ekko, Leblanc, Leona, Zed, Zoe"
5,-1,"Alistar, Annie, Ekko, Leblanc, Leona, Sona, Yuumi",,,"Alistar, Annie, Ekko, Leblanc, Leona, Zed, Zoe"
5,-1,"Alistar, Annie, Aphelios, Fiora, Leblanc, Viego, Zac, Zed",,,"Alistar, Annie, Ekko, Leblanc, Leona, Zed, Zoe"
5,-1,"Ekko, Jinx, Kaisa, MissFortune, Rell, Riven, Vayne, Vi",,,"Alistar, Annie, Ekko, Leblanc, Leona, Zed, Zoe"
