placement,group,comp,grp_count,grp_placement,mode
8,0,"LeeSin, Malphite, Sejuani, Yuumi",150,4.9,"LeeSin, Malphite, Yuumi"
2,0,"LeeSin, Malphite, Soraka, Syndra, Yuumi",150,4.9,"LeeSin, Malphite, Yuumi"
8,0,"LeeSin, Malphite, Yuumi",150,4.9,"LeeSin, Malphite, Yuumi"
7,0,"LeeSin, Malphite, Yuumi",150,4.9,"LeeSin, Malphite, Yuumi"
5,0,"Alistar, Ezreal, LeeSin, Malphite",150,4.9,"LeeSin, Malphite, Yuumi"
2,0,"Alistar, Aphelios, Janna, LeeSin, Leona, Malphite, Sivir, Yuumi",150,4.9,"LeeSin, Malphite, Yuumi"
7,0,"Alistar, LeeSin, Malphite, Sivir",150,4.9,"LeeSin, Malphite, Yuumi"
2,0,"Alistar, LeeSin, Malphite, Nunu, Soraka, Syndra, Yuumi",150,4.9,"LeeSin, Malphite, Yuumi"
6,0,"Alistar, Fiora, LeeSin, Malphite, Yuumi",150,4.9,"LeeSin, Malphite, Yuumi"
3,0,"Alistar, Aphelios, LeeSin, Malphite, Sivir, Vi",150,4.9,"LeeSin, Malphite, Yuumi"
5,0,"LeeSin, Malphite, Yuumi, Zac",150,4.9,"LeeSin, Malphite, Yuumi"
2,0,"Alistar, Annie, LeeSin, Malphite, Yuumi, Zoe",150,4.9,"LeeSin, Malphite, Yuumi"
1,0,"Alistar, Ekko, Ezreal, LeeSin, Malphite, Sona, Vi",150,4.9,"LeeSin, Malphite, Yuumi"
3,0,"Alistar, LeeSin, Leona, Malphite, Senna, Sivir",150,4.9,"LeeSin, Malphite, Yuumi"
7,0,"LeeSin, Malphite",150,4.9,"LeeSin, Malphite, Yuumi"
8,0,Malphite,150,4.9,"LeeSin, Malphite, Yuumi"
8,0,"LeeSin, Malphite, Yuumi",150,4.9,"LeeSin, Malphite, Yuumi"
6,0,"Alistar, LeeSin, Malphite, Vi, Yuumi",150,4.9,"LeeSin, Malphite, Yuumi"
7,0,Malphite,150,4.9,"LeeSin, Malphite, Yuumi"
4,0,"Alistar, LeeSin, Malphite, Velkoz, Yuumi",150,4.9,"LeeSin, Malphite, Yuumi"
1,0,"LeeSin, Malphite, Nunu, Sejuani, Yuumi",150,4.9,"LeeSin, Malphite, Yuumi"
6,0,"LeeSin, Malphite, Yasuo",150,4.9,"LeeSin, Malphite, Yuumi"
4,0,"LeeSin, Malphite, Nunu, Soraka, Yuumi",150,4.9,"LeeSin, Malphite, Yuumi"
1,0,"Janna, LeeSin, Malphite, Yasuo",150,4.9,"LeeSin, Malphite, Yuumi"
5,0,"LeeSin, Malphite, Yuumi",150,4.9,"LeeSin, Malphite, Yuumi"
8,0,"Alistar, Malphite, Senna, Sivir",150,4.9,"LeeSin, Malphite, Yuumi"
6,0,"LeeSin, Malphite, Sona, Vi",150,4.9,"LeeSin, Malphite, Yuumi"
8,0,"Alistar, Malphite, Nunu, Yuumi",150,4.9,"LeeSin, Malphite, Yuumi"
5,0,"LeeSin, Malphite, MissFortune, Riven, Yuumi",150,4.9,"LeeSin, Malphite, Yuumi"
7,0,"LeeSin, Malphite, Yuumi",150,4.9,"LeeSin, Malphite, Yuumi"
6,0,"LeeSin, Malphite",150,4.9,"LeeSin, Malphite, Yuumi"
3,0,"Alistar, LeeSin, Malphite, Sivir, Yuumi",150,4.9,"LeeSin, Malphite, Yuumi"
1,0,"Alistar, Jinx, LeeSin, Malphite",150,4.9,"LeeSin, Malphite, Yuumi"
8,0,"LeeSin, Malphite, Vi",150,4.9,"LeeSin, Malphite, Yuumi"
4,0,"Alistar, Annie, Fiora, LeeSin, Malphite",150,4.9,"LeeSin, Malphite, Yuumi"
8,0,"LeeSin, Malphite, Yuumi",150,4.9,"LeeSin, Malphite, Yuumi"
6,0,"LeeSin, Malphite, Yuumi",150,4.9,"LeeSin, Malphite, Yuumi"
8,0,"LeeSin, Malphite, Yuumi",150,4.9,"LeeSin, Malphite, Yuumi"
3,0,"Alistar, Camille, LeeSin, Leona, Malphite",150,4.9,"LeeSin, Malphite, Yuumi"
2,0,"Ezreal, Kaisa, LeeSin, Malphite, Sejuani, Sivir, Vayne, Zac",150,4.9,"LeeSin, Malphite, Yuumi"
8,0,"Alistar, LeeSin, Malphite, Yuumi",150,4.9,"LeeSin, Malphite, Yuumi"
2,0,"Alistar, LeeSin, Malphite, Yuumi",150,4.9,"LeeSin, Malphite, Yuumi"
7,0,"LeeSin, Malphite, Vi, Yuumi",150,4.9,"LeeSin, Malphite, Yuumi"
4,0,"LeeSin, Malphite, Senna, Sivir, Vi",150,4.9,"LeeSin, Malphite, Yuumi"
2,0,"Alistar, LeeSin, Malphite, Samira, Sivir, Vi",150,4.9,"LeeSin, Malphite, Yuumi"
4,0,"Aphelios, LeeSin, Malphite, Sivir, Yuumi",150,4.9,"LeeSin, Malphite, Yuumi"
2,0,"LeeSin, Malphite, Nilah, Rell, Sona, Yuumi",150,4.9,"LeeSin, Malphite, Yuumi"
2,0,"LeeSin, Malphite, Sivir, Yuumi",150,4.9,"LeeSin, Malphite, Yuumi"
6,0,"LeeSin, Malphite, Sejuani, Senna, Sivir, Zed",150,4.9,"LeeSin, Malphite, Yuumi"
3,0,"Alistar, Ekko, Janna, LeeSin, Malphite, Yuumi",150,4.9,"LeeSin, Malphite, Yuumi"
1,0,"Alistar, Ekko, Janna, LeeSin, Malphite, Yuumi",150,4.9,"LeeSin, Malphite, Yuumi"
7,0,"LeeSin, Malphite, Samira, Sivir",150,4.9,"LeeSin, Malphite, Yuumi"
7,0,"Jinx, LeeSin, Malphite, Nunu, Riven",150,4.9,"LeeSin, Malphite, Yuumi"
1,0,"Janna, LeeSin, Malphite, Nilah, Syndra, Yuumi",150,4.9,"LeeSin, Malphite, Yuumi"
1,0,"Draven, Jax, LeeSin, Malphite, Yuumi",150,4.9,"LeeSin, Malphite, Yuumi"
4,0,"Alistar, LeeSin, Malphite, Vi, Yuumi",150,4.9,"LeeSin, Malphite, Yuumi"
1,0,"Alistar, Ekko, LeeSin, Malphite, Senna, Sivir, Vi",150,4.9,"LeeSin, Malphite, Yuumi"
3,0,"LeeSin, Malphite, Senna, Sivir, Urgot, Yasuo",150,4.9,"LeeSin, Malphite, Yuumi"
7,0,"LeeSin, Malphite",150,4.9,"LeeSin, Malphite, Yuumi"
4,0,"Annie, LeeSin, Malphite, Sivir",150,4.9,"LeeSin, Malphite, Yuumi"
3,0,"Ezreal, LeeSin, Malphite, Sona, Soraka, Syndra, Vi, Yuumi",150,4.9,"LeeSin, Malphite, Yuumi"
3,0,"Alistar, LeeSin, Malphite, Sivir, Yuumi",150,4.9,"LeeSin, Malphite, Yuumi"
1,0,"Alistar, LeeSin, Malphite, Vi",150,4.9,"LeeSin, Malphite, Yuumi"
7,0,"Alistar, LeeSin, Malphite, Yuumi",150,4.9,"LeeSin, Malphite, Yuumi"
3,0,"Alistar, Ekko, Ezreal, LeeSin, Malphite, Sona, Vi",150,4.9,"LeeSin, Malphite, Yuumi"
8,0,"LeeSin, Malphite",150,4.9,"LeeSin, Malphite, Yuumi"
8,0,"Alistar, LeeSin, Malphite, Yuumi",150,4.9,"LeeSin, Malphite, Yuumi"
3,0,"Aphelios, LeeSin, Malphite, Sivir, Yuumi",150,4.9,"LeeSin, Malphite, Yuumi"
7,0,"LeeSin, Malphite, Sivir",150,4.9,"LeeSin, Malphite, Yuumi"
3,0,"Alistar, LeeSin, Malphite, Nunu, Yasuo",150,4.9,"LeeSin, Malphite, Yuumi"
6,0,"Alistar, LeeSin, Malphite, Yuumi",150,4.9,"LeeSin, Malphite, Yuumi"
8,0,"LeeSin, Malphite, Yuumi",150,4.9,"LeeSin, Malphite, Yuumi"
7,0,"Alistar, Malphite, Sivir, Vi",150,4.9,"LeeSin, Malphite, Yuumi"
8,0,"Alistar, Ekko, LeeSin, Malphite, Rell, Vi, Yuumi",150,4.9,"LeeSin, Malphite, Yuumi"
7,0,"LeeSin, Malphite, Senna, Sivir, Vi",150,4.9,"LeeSin, Malphite, Yuumi"
6,0,"Alistar, Janna, LeeSin, Malphite, Sivir, Yuumi",150,4.9,"LeeSin, Malphite, Yuumi"
7,0,"Janna, LeeSin, Malphite, MissFortune, Yuumi",150,4.9,"LeeSin, Malphite, Yuumi"
2,0,"Alistar, Aphelios, LeeSin, Leona, Malphite, Sivir, Yuumi",150,4.9,"LeeSin, Malphite, Yuumi"
1,0,"Alistar, LeeSin, Malphite, Samira, Sivir, Yuumi",150,4.9,"LeeSin, Malphite, Yuumi"
6,0,"LeeSin, Malphite, Yuumi",150,4.9,"LeeSin, Malphite, Yuumi"
2,0,"Alistar, Aphelios, LeeSin, Malphite, Sivir",150,4.9,"LeeSin, Malphite, Yuumi"
7,0,"LeeSin, Malphite",150,4.9,"LeeSin, Malphite, Yuumi"
7,0,"Alistar, LeeSin, Malphite, Yuumi",150,4.9,"LeeSin, Malphite, Yuumi"
4,0,"LeeSin, Malphite, Sona, Yuumi",150,4.9,"LeeSin, Malphite, Yuumi"
7,0,"Alistar, LeeSin, Malphite, Samira, Senna",150,4.9,"LeeSin, Malphite, Yuumi"
8,0,Malphite,150,4.9,"LeeSin, Malphite, Yuumi"
1,0,"Alistar, LeeSin, Malphite",150,4.9,"LeeSin, Malphite, Yuumi"
2,0,"Alistar, LeeSin, Malphite, Nunu, Yuumi",150,4.9,"LeeSin, Malphite, Yuumi"
