placement,group,comp,grp_count,grp_placement,mode
2,0,"Alistar, LeeSin, Malphite, Yuumi",211,5.31,"LeeSin, Malphite, Yuumi"
8,0,"Malphite, Sona, Yuumi",211,5.31,"LeeSin, Malphite, Yuumi"
1,0,"LeeSin, Malphite, Nilah, Vayne",211,5.31,"LeeSin, Malphite, Yuumi"
8,0,"LeeSin, Malphite, Yuumi",211,5.31,"LeeSin, Malphite, Yuumi"
7,0,"LeeSin, Malphite, Senna, Sivir, Vi",211,5.31,"LeeSin, Malphite, Yuumi"
4,0,"Alistar, Janna, LeeSin, Malphite, Sivir, Yuumi",211,5.31,"LeeSin, Malphite, Yuumi"
7,0,"Alistar, Malphite, Sivir, Vi",211,5.31,"LeeSin, Malphite, Yuumi"
6,0,"Alistar, Ekko, LeeSin, Sona, Soraka, Yuumi",211,5.31,"LeeSin, Malphite, Yuumi"
4,0,"LeeSin, Malphite, Yuumi",211,5.31,"LeeSin, Malphite, Yuumi"
2,0,"Alistar, Ekko, LeeSin, Malphite, Sivir, Yuumi",211,5.31,"LeeSin, Malphite, Yuumi"
3,0,"Alistar, Camille, Leblanc, Sona, Soraka, Vi",211,5.31,"LeeSin, Malphite, Yuumi"
8,0,"Alistar, Annie, LeeSin, Malphite, Sona, Yuumi",211,5.31,"LeeSin, Malphite, Yuumi"
4,0,"LeeSin, Malphite, Senna, Sivir, Vi",211,5.31,"LeeSin, Malphite, Yuumi"
7,0,"LeeSin, Malphite, Samira, Sejuani, Senna, Sivir",211,5.31,"LeeSin, Malphite, Yuumi"
7,0,"Janna, LeeSin, Malphite, MissFortune, Yuumi",211,5.31,"LeeSin, Malphite, Yuumi"
8,0,"Alistar, Annie, Malphite, Yuumi",211,5.31,"LeeSin, Malphite, Yuumi"
8,0,"Jax, LeeSin, Malphite",211,5.31,"LeeSin, Malphite, Yuumi"
8,0,"LeeSin, Malphite, Yuumi",211,5.31,"LeeSin, Malphite, Yuumi"
3,0,"Alistar, LeeSin, Malphite, Sivir, Yuumi",211,5.31,"LeeSin, Malphite, Yuumi"
8,0,"LeeSin, Malphite, Yuumi",211,5.31,"LeeSin, Malphite, Yuumi"
8,0,"Alistar, LeeSin, Malphite, Soraka, Yuumi",211,5.31,"LeeSin, Malphite, Yuumi"
6,0,"LeeSin, Malphite, Sona, Vi",211,5.31,"LeeSin, Malphite, Yuumi"
8,0,"Annie, Sejuani, Yuumi, Zoe",211,5.31,"LeeSin, Malphite, Yuumi"
2,0,"LeeSin, Malphite, Nunu, Senna, Sivir, Yuumi",211,5.31,"LeeSin, Malphite, Yuumi"
8,0,"Alistar, Ekko, LeeSin, Malphite, Rell, Vi, Yuumi",211,5.31,"LeeSin, Malphite, Yuumi"
3,0,"Alistar, Ekko, Ezreal, LeeSin, Malphite, Sona, Vi",211,5.31,"LeeSin, Malphite, Yuumi"
7,0,"LeeSin, Malphite, Yuumi",211,5.31,"LeeSin, Malphite, Yuumi"
6,0,"LeeSin, Malphite",211,5.31,"LeeSin, Malphite, Yuumi"
2,0,"Janna, LeeSin, Malphite, Sejuani, Yuumi",211,5.31,"LeeSin, Malphite, Yuumi"
4,0,"Alistar, Camille, LeeSin, Malphite",211,5.31,"LeeSin, Malphite, Yuumi"
1,0,"Alistar, Ekko, Janna, LeeSin, Malphite, Yuumi",211,5.31,"LeeSin, Malphite, Yuumi"
3,0,"Jinx, LeeSin, Malphite, Mordekaiser, Vi",211,5.31,"LeeSin, Malphite, Yuumi"
8,0,"LeeSin, Malphite",211,5.31,"LeeSin, Malphite, Yuumi"
8,0,"LeeSin, Malphite, Yuumi",211,5.31,"LeeSin, Malphite, Yuumi"
5,0,"Alistar, LeeSin, Malphite, Samira, Sivir",211,5.31,"LeeSin, Malphite, Yuumi"
2,0,"Jax, LeeSin, Malphite, Sejuani, Soraka",211,5.31,"LeeSin, Malphite, Yuumi"
4,0,"Alistar, LeeSin, Malphite, Senna, Sivir, Yuumi",211,5.31,"LeeSin, Malphite, Yuumi"
2,0,"Alistar, LeeSin, Malphite, Nunu, Yuumi",211,5.31,"LeeSin, Malphite, Yuumi"
3,0,"Alistar, LeeSin, Leona, Malphite, Senna, Sivir",211,5.31,"LeeSin, Malphite, Yuumi"
8,0,"Fiora, LeeSin, Malphite, Yasuo",211,5.31,"LeeSin, Malphite, Yuumi"
4,0,"LeeSin, Malphite, Nunu, Soraka, Yuumi",211,5.31,"LeeSin, Malphite, Yuumi"
7,0,"LeeSin, Malphite",211,5.31,"LeeSin, Malphite, Yuumi"
5,0,"LeeSin, Malphite, Yuumi, Zac",211,5.31,"LeeSin, Malphite, Yuumi"
5,0,"Leblanc, LeeSin, Malphite, Soraka",211,5.31,"LeeSin, Malphite, Yuumi"
8,0,"Alistar, Malphite, Nunu, Yuumi",211,5.31,"LeeSin, Malphite, Yuumi"
7,0,"LeeSin, Malphite, Yuumi",211,5.31,"LeeSin, Malphite, Yuumi"
7,0,"Alistar, LeeSin, Malphite, Yuumi",211,5.31,"LeeSin, Malphite, Yuumi"
8,0,"Jinx, LeeSin, Malphite",211,5.31,"LeeSin, Malphite, Yuumi"
8,0,"LeeSin, Malphite",211,5.31,"LeeSin, Malphite, Yuumi"
7,0,"Alistar, LeeSin, Malphite, Nunu, Yuumi",211,5.31,"LeeSin, Malphite, Yuumi"
1,0,"Alistar, Ekko, LeeSin, Leona, Malphite, Sona, Urgot, Vi",211,5.31,"LeeSin, Malphite, Yuumi"
1,0,"Janna, LeeSin, Malphite, Nilah, Syndra, Yuumi",211,5.31,"LeeSin, Malphite, Yuumi"
6,0,"LeeSin, Malphite, Sivir, Syndra, Yuumi",211,5.31,"LeeSin, Malphite, Yuumi"
2,0,"Alistar, LeeSin, Leona, Malphite, Sejuani, Vi",211,5.31,"LeeSin, Malphite, Yuumi"
4,0,"LeeSin, Malphite, Sona, Yuumi",211,5.31,"LeeSin, Malphite, Yuumi"
7,0,"Alistar, LeeSin, Malphite, Sejuani, Sivir, Yuumi",211,5.31,"LeeSin, Malphite, Yuumi"
3,0,"Alistar, LeeSin, Malphite, Sivir, Yuumi",211,5.31,"LeeSin, Malphite, Yuumi"
1,0,"Alistar, LeeSin, Leona, Malphite, Yuumi",211,5.31,"LeeSin, Malphite, Yuumi"
8,0,"LeeSin, Malphite, Sejuani, Yuumi",211,5.31,"LeeSin, Malphite, Yuumi"
8,0,"LeeSin, Malphite",211,5.31,"LeeSin, Malphite, Yuumi"
1,0,"Alistar, Ekko, Ezreal, LeeSin, Malphite, Sona, Vi",211,5.31,"LeeSin, Malphite, Yuumi"
8,0,"Alistar, Malphite, Soraka, Yuumi",211,5.31,"LeeSin, Malphite, Yuumi"
7,0,"LeeSin, Malphite, Sivir",211,5.31,"LeeSin, Malphite, Yuumi"
6,0,"Alistar, Leona, Malphite, Samira, Sejuani, Sivir",211,5.31,"LeeSin, Malphite, Yuumi"
4,0,"Alistar, LeeSin, Malphite, Vi, Yuumi",211,5.31,"LeeSin, Malphite, Yuumi"
5,0,"Alistar, LeeSin, Malphite, Nilah, Vi, Yuumi",211,5.31,"LeeSin, Malphite, Yuumi"
6,0,"LeeSin, Malphite, Yuumi",211,5.31,"LeeSin, Malphite, Yuumi"
8,0,"Alistar, LeeSin, Malphite, Yuumi",211,5.31,"LeeSin, Malphite, Yuumi"
7,0,"Camille, LeeSin, Malphite, Viego",211,5.31,"LeeSin, Malphite, Yuumi"
7,0,"Alistar, LeeSin, Malphite, Sivir",211,5.31,"LeeSin, Malphite, Yuumi"
6,0,"LeeSin, Malphite, Yasuo",211,5.31,"LeeSin, Malphite, Yuumi"
8,0,"LeeSin, Malphite, Sejuani, Yuumi",211,5.31,"LeeSin, Malphite, Yuumi"
6,0,"Alistar, Janna, LeeSin, Malphite, Sivir, Yuumi",211,5.31,"LeeSin, Malphite, Yuumi"
3,0,"Camille, Janna, Leblanc, Leona, Nunu, Soraka, Yuumi",211,5.31,"LeeSin, Malphite, Yuumi"
8,0,"LeeSin, Malphite",211,5.31,"LeeSin, Malphite, Yuumi"
7,0,"LeeSin, Malphite, Sona, Vi",211,5.31,"LeeSin, Malphite, Yuumi"
8,0,"LeeSin, Malphite, Yuumi",211,5.31,"LeeSin, Malphite, Yuumi"
3,0,"LeeSin, Malphite, Nilah, Yasuo",211,5.31,"LeeSin, Malphite, Yuumi"
7,0,"Alistar, Aphelios, Janna, Malphite, Nunu, Senna, Sivir",211,5.31,"LeeSin, Malphite, Yuumi"
2,0,"LeeSin, Malphite, Sejuani, Yuumi",211,5.31,"LeeSin, Malphite, Yuumi"
6,0,"Jinx, LeeSin, Malphite, Nilah",211,5.31,"LeeSin, Malphite, Yuumi"
6,0,"Camille, LeeSin, Sona, Soraka, Yuumi",211,5.31,"LeeSin, Malphite, Yuumi"
6,0,"Alistar, LeeSin, Malphite, Vi, Yuumi",211,5.31,"LeeSin, Malphite, Yuumi"
8,0,"Alistar, LeeSin, Malphite, Yuumi",211,5.31,"LeeSin, Malphite, Yuumi"
1,0,"Alistar, LeeSin, Malphite, Sona, Vi, Yasuo",211,5.31,"LeeSin, Malphite, Yuumi"
