unit,items,value_count,average_placement
TFT8_Alistar,"None, None, Zephyr",35,3.37
TFT8_Alistar,"ChainVest, None, None",18,3.56
TFT8_Alistar,"None, None, PranksterEmblemItem",14,3.64
TFT8_Alistar,"None, None, Shroud",60,3.67
TFT8_Alistar,"LocketOfTheIronSolari, None, None",15,3.8
TFT8_Annie,"GargoyleStoneplate, None, RedBuff",15,3.47
TFT8_Annie,"None, None, RedBuff",28,3.93
TFT8_Annie,"GargoyleStoneplate, IonicSpark, WarmogsArmor",16,4.25
TFT8_Annie,"IonicSpark, None, RedBuff",12,4.25
TFT8_Annie,"None, None, None",6092,4.51
TFT8_Aphelios,"LastWhisper, None, None",15,3.47
TFT8_Aphelios,"None, None, RenegadeEmblemItem",12,4.0
TFT8_Aphelios,"MadredsBloodrazor, None, None",13,4.15
TFT8_Aphelios,"None, None, None",6372,4.58
TFT8_Aphelios,"GuinsoosRageblade, None, None",18,4.94
TFT8_Ashe,"GuinsoosRageblade, LastWhisper, MadredsBloodrazor",30,3.1
TFT8_Ashe,"Deathblade, GuinsoosRageblade, LastWhisper",41,3.73
TFT8_Ashe,"LastWhisper, MadredsBloodrazor, RunaansHurricane",24,4.04
TFT8_Ashe,"Deathblade, GuinsoosRageblade, MadredsBloodrazor",13,4.08
TFT8_Ashe,"Deathblade, LastWhisper, RunaansHurricane",27,4.22
TFT8_AurelionSol,"None, None, None",6905,4.49
TFT8_BelVeth,"None, None, None",6828,4.5
TFT8_Blitzcrank,"None, None, TitanicHydra",18,4.06
TFT8_Blitzcrank,"None, None, Zephyr",13,4.08
TFT8_Blitzcrank,"None, None, Shroud",17,4.18
TFT8_Blitzcrank,"None, None, None",6884,4.51
TFT8_Blitzcrank,"None, None, RedBuff",19,4.68
TFT8_Camille,"None, None, OxForceEmblemItem",12,3.42
TFT8_Camille,"Bloodthirster, InfinityEdge, TitansResolve",30,4.03
TFT8_Camille,"None, None, None",6895,4.51
TFT8_Chogath,"None, None, None",6911,4.51
TFT8_Draven,"None, None, None",7098,4.5
TFT8_Ekko,"None, None, ZekesHerald",14,3.29
TFT8_Ekko,"None, None, Zephyr",34,3.41
TFT8_Ekko,"FrozenHeart, None, None",22,3.5
TFT8_Ekko,"None, None, WarmogsArmor",41,3.88
TFT8_Ekko,"None, None, TitanicHydra",49,3.88
TFT8_Ezreal,"None, None, None",7097,4.5
TFT8_Fiddlesticks,"Morellonomicon, None, None",14,3.36
