augment2_grp,Value_Count,average_placement
TFT6_Augment_Featherweights3,1,1.0
TFT8_Augment_PranksterEmblem2,3,2.33
TFT8_Augment_SupersTrait2,4,2.5
TFT6_Augment_Featherweights2,3,2.67
TFT6_Augment_Featherweights1,3,3.0
TFT6_Augment_TriForce2,1,3.0
TFT8_Augment_ADMINEmblem2,9,3.22
TFT7_Augment_BigFriend,40,3.22
TFT8_Augment_SamiraSupport,77,3.68
TFT6_Augment_Battlemage1,56,3.75
TFT8_Augment_AnimaSquadEmblem2,4,3.75
TFT6_Augment_TheGoldenEgg,73,3.78
TFT8_Augment_NunuCarry,34,3.79
TFT6_Augment_CyberneticImplants2,52,3.79
TFT8_Augment_ExoPrimeEmblem2,17,3.82
TFT7_Augment_BigFriend2,60,3.83
TFT8_Augment_RenegadePartners,161,3.85
TFT8_Augment_InterPolarisEmblem2,7,3.86
TFT8_Augment_UrgotCarry,23,3.87
TFT6_Augment_CyberneticImplants3,26,3.88
TFT8_Augment_VelkozFrostburn,19,3.89
TFT8_Augment_MordekaiserCarry,9,3.89
TFT6_Augment_GrandGambler,92,3.9
TFT8_Augment_InterPolarisEmblem,21,3.95
TFT6_Augment_CyberneticShell1,26,3.96
TFT8_Augment_RenegadeTrait,29,3.97
TFT8_Augment_SettSupport,31,3.97
TFT8_Augment_SyndraSupport,52,3.98
TFT8_Augment_InterPolarisTrait,9,4.0
TFT8_Augment_DeadeyeTrait,20,4.0
TFT8_Augment_ChoGathMR,34,4.0
TFT6_Augment_Battlemage2,113,4.02
TFT8_Augment_JaxSupport,277,4.03
TFT8_Augment_HackerEmblem2,24,4.04
TFT8_Augment_AurelionSolImpact,42,4.05
TFT8_Augment_DuelistTrait,50,4.06
TFT8_Augment_BrawlerEmblem,103,4.07
TFT8_Augment_BrawlerEmblem2,37,4.08
TFT8_Augment_AceEmblem,13,4.08
TFT8_Augment_RammusArmor,50,4.1
TFT8_Augment_DuelistEmblem2,31,4.1
TFT8_Augment_ThreatMaxHealth,28,4.11
TFT8_Augment_BelVethVoidmother,18,4.11
TFT8_Augment_LeonaSupport,122,4.13
TFT6_Augment_CyberneticShell2,31,4.16
TFT8_Augment_ChannelerEmblem2,17,4.18
TFT8_Augment_DefenderTrait,33,4.18
TFT8_Augment_StarGuardianTrait,11,4.18
TFT8_Augment_ViegoCarry,65,4.18
TFT8_Augment_CivilianEmblem,40,4.2
TFT6_Augment_Distancing,25,4.2
TFT8_Augment_RenegadeEmblem2,23,4.22
TFT8_Augment_StarGuardianEmblem2,9,4.22
TFT8_Augment_HackerEmblem,37,4.24
TFT6_Augment_Battlemage3,44,4.25
TFT8_Augment_UrgotSupport,28,4.25
TFT8_Augment_RenegadeEmblem,57,4.25
TFT6_Augment_Ascension,251,4.26
TFT6_Augment_BlueBattery1,141,4.26
TFT7_Augment_ThinkFast,62,4.26
TFT8_Augment_OxForceEmblem,58,4.26
TFT6_Augment_Diversify1,50,4.28
TFT6_Augment_FirstAidKit,48,4.29
TFT8_Augment_DeadeyeEmblem2,21,4.29
TFT8_Augment_ZedSupport,307,4.3
TFT6_Augment_CelestialBlessing2,252,4.31
TFT8_Augment_ChannelerEmblem,52,4.31
TFT8_Augment_JaxASCarry,97,4.32
TFT8_Augment_TaliyahSupport,73,4.32
TFT6_Augment_CelestialBlessing3,88,4.32
TFT6_Augment_JeweledLotus,222,4.32
