placement,group,comp,grp_count,grp_placement,mode
8,-1,"Alistar, Ekko, Ezreal, Samira, Sejuani, Senna, Vi",,,"Alistar, Annie, Camille"
6,-1,"Alistar, Annie, Ekko, Mordekaiser, Sejuani, Viego, Zed",,,"Alistar, Annie, Camille"
6,-1,"Alistar, BelVeth, Chogath, Rammus, Samira, Velkoz, Vi, Zac",,,"Alistar, Annie, Camille"
6,-1,"Alistar, Jax, Leona, MissFortune, Riven, Sejuani, Sett, Vi",,,"Alistar, Annie, Camille"
3,-1,"Alistar, Kaisa, Riven, Sejuani, Vayne, Vi",,,"Alistar, Annie, Camille"
3,-1,"Janna, Leblanc, Leona, Mordekaiser, Soraka, Urgot, Velkoz, Vi",,,"Alistar, Annie, Camille"
6,-1,"Alistar, Fiora, Riven, Sejuani, Vayne, Vi, Yasuo, Zed, Zoe",,,"Alistar, Annie, Camille"
3,-1,"Alistar, Annie, Ekko, Janna, Leona, Sona, Soraka, Syndra, Urgot, Yuumi",,,"Alistar, Annie, Camille"
3,-1,"Jax, Leblanc, Riven, Sejuani, Vi, Zed",,,"Alistar, Annie, Camille"
6,-1,"Ekko, Ezreal, Nilah, Sett, Vayne, Yasuo, Zed, Zoe",,,"Alistar, Annie, Camille"
3,-1,"Mordekaiser, Sejuani, Urgot, Yasuo, Zac, Zed",,,"Alistar, Annie, Camille"
6,-1,"Fiddlesticks, Mordekaiser, Riven, Samira, Sejuani, Senna, Urgot, Vi",,,"Alistar, Annie, Camille"
3,-1,"Alistar, Leblanc, Leona, Nunu, Sejuani, Sona, Soraka, Urgot",,,"Alistar, Annie, Camille"
3,-1,"Alistar, Ekko, Jinx, Kaisa, Nilah, Taliyah, Velkoz, Yuumi",,,"Alistar, Annie, Camille"
6,-1,"Alistar, Ekko, Fiora, Leblanc, Leona, Nunu, Vi, Zed, Zoe",,,"Alistar, Annie, Camille"
6,-1,"Chogath, Rammus, Samira, Senna, Sivir, Velkoz",,,"Alistar, Annie, Camille"
6,-1,"Alistar, Aphelios, Sejuani, Sivir, Urgot, Vi, Viego",,,"Alistar, Annie, Camille"
6,-1,"Annie, Ekko, Jinx, Leblanc, Nunu, Soraka, Zoe",,,"Alistar, Annie, Camille"
6,-1,"AurelionSol, Chogath, Fiddlesticks, Mordekaiser, Rammus, Urgot, Velkoz, Zac",,,"Alistar, Annie, Camille"
3,-1,"Alistar, Aphelios, Ekko, Rell, Riven, Samira, Sett, Sivir",,,"Alistar, Annie, Camille"
3,-1,"Alistar, Aphelios, Fiddlesticks, Janna, Leona, Nunu, Sivir, Syndra, Yuumi",,,"Alistar, Annie, Camille"
3,-1,"Alistar, Fiora, LeeSin, Leona, Malphite, Yasuo, Zed",,,"Alistar, Annie, Camille"
3,-1,"Alistar, Aphelios, Ekko, Fiddlesticks, Nunu, Senna, Urgot, Zed, Zoe",,,"Alistar, Annie, Camille"
3,-1,"Alistar, Camille, Fiddlesticks, Leblanc, Leona, Zoe",,,"Alistar, Annie, Camille"
6,-1,"Ekko, Samira, Sejuani, Senna, Vayne, Vi, Zac, Zed",,,"Alistar, Annie, Camille"
3,-1,"Annie, Ekko, Leblanc, Rell, Sett, Syndra, Zed, Zoe",,,"Alistar, Annie, Camille"
3,-1,"Alistar, Annie, AurelionSol, Ekko, Fiora, Leona, Urgot, Viego",,,"Alistar, Annie, Camille"
6,-1,"Alistar, Ekko, Leblanc, Nunu, Sejuani, Yasuo, Zed, Zoe",,,"Alistar, Annie, Camille"
3,-1,"Aphelios, Ekko, Leona, Riven, Sett, Vi, Viego, Zoe",,,"Alistar, Annie, Camille"
6,-1,"Leblanc, Leona, Sona, Vayne, Vi, Zed, Zoe",,,"Alistar, Annie, Camille"
3,-1,"Aphelios, Camille, Janna, Leona, Nunu, Urgot, Vi, Viego, Zac",,,"Alistar, Annie, Camille"
