placement,group,comp,grp_count,grp_placement,mode
1,0,"Chogath, Ekko, Fiddlesticks, Janna, Leblanc, Rammus, Velkoz, Zoe",426,3.63,"Alistar, Annie, Ekko, Fiddlesticks, Janna, Syndra, Taliyah, Yuumi"
7,0,"BelVeth, Fiddlesticks, Janna, Nunu, Rammus, Sivir, Velkoz, Vi",426,3.63,"Alistar, Annie, Ekko, Fiddlesticks, Janna, Syndra, Taliyah, Yuumi"
2,0,"Alistar, Ekko, Fiddlesticks, Janna, Leona, Samira, Sivir, Urgot",426,3.63,"Alistar, Annie, Ekko, Fiddlesticks, Janna, Syndra, Taliyah, Yuumi"
5,0,"Alistar, Ekko, Fiddlesticks, Janna, Leona, Sivir, Soraka, Syndra",426,3.63,"Alistar, Annie, Ekko, Fiddlesticks, Janna, Syndra, Taliyah, Yuumi"
4,0,"AurelionSol, Fiddlesticks, Janna, Sivir, Zac",426,3.63,"Alistar, Annie, Ekko, Fiddlesticks, Janna, Syndra, Taliyah, Yuumi"
5,0,"Alistar, Annie, AurelionSol, Fiddlesticks, Janna, Mordekaiser, Soraka, Urgot, Velkoz",426,3.63,"Alistar, Annie, Ekko, Fiddlesticks, Janna, Syndra, Taliyah, Yuumi"
3,0,"Fiddlesticks, Janna, Leblanc, Sejuani, Urgot, Vi, Yasuo, Zed, Zoe",426,3.63,"Alistar, Annie, Ekko, Fiddlesticks, Janna, Syndra, Taliyah, Yuumi"
5,0,"Alistar, Ekko, Fiddlesticks, Janna, Samira, Sivir, Vi",426,3.63,"Alistar, Annie, Ekko, Fiddlesticks, Janna, Syndra, Taliyah, Yuumi"
1,0,"Ekko, Fiddlesticks, Janna, Leblanc, Leona, Nunu, Soraka, Urgot",426,3.63,"Alistar, Annie, Ekko, Fiddlesticks, Janna, Syndra, Taliyah, Yuumi"
8,0,"Alistar, AurelionSol, Ekko, Fiddlesticks, Janna, Leona, Zed, Zoe",426,3.63,"Alistar, Annie, Ekko, Fiddlesticks, Janna, Syndra, Taliyah, Yuumi"
2,0,"Aphelios, Chogath, Fiddlesticks, Janna, Leblanc, Nunu, Rammus, Urgot, Velkoz",426,3.63,"Alistar, Annie, Ekko, Fiddlesticks, Janna, Syndra, Taliyah, Yuumi"
7,0,"Fiddlesticks, Janna, Leona, MissFortune, Rell, Riven, Sejuani, Vayne",426,3.63,"Alistar, Annie, Ekko, Fiddlesticks, Janna, Syndra, Taliyah, Yuumi"
2,0,"Fiddlesticks, Janna, Leona, Nunu, Samira, Sejuani, Senna, Urgot, Vi",426,3.63,"Alistar, Annie, Ekko, Fiddlesticks, Janna, Syndra, Taliyah, Yuumi"
7,0,"Ekko, Fiddlesticks, Janna, Leona, Nilah, Nunu, Taliyah, Urgot",426,3.63,"Alistar, Annie, Ekko, Fiddlesticks, Janna, Syndra, Taliyah, Yuumi"
1,0,"Alistar, Annie, Ekko, Fiddlesticks, Janna, Leblanc, Sona, Taliyah, Yuumi",426,3.63,"Alistar, Annie, Ekko, Fiddlesticks, Janna, Syndra, Taliyah, Yuumi"
3,0,"Ekko, Fiddlesticks, Janna, Jax, Leona, Riven, Sejuani, Sett, Vi",426,3.63,"Alistar, Annie, Ekko, Fiddlesticks, Janna, Syndra, Taliyah, Yuumi"
2,0,"Fiddlesticks, Janna, LeeSin, Malphite, Yasuo, Zac",426,3.63,"Alistar, Annie, Ekko, Fiddlesticks, Janna, Syndra, Taliyah, Yuumi"
5,0,"Annie, Fiddlesticks, Janna, Leona, Nunu, Soraka, Syndra, Zac",426,3.63,"Alistar, Annie, Ekko, Fiddlesticks, Janna, Syndra, Taliyah, Yuumi"
2,0,"Fiddlesticks, Janna, Leona, Nunu, Sejuani, Sona, Soraka, Syndra, Vi",426,3.63,"Alistar, Annie, Ekko, Fiddlesticks, Janna, Syndra, Taliyah, Yuumi"
4,0,"AurelionSol, BelVeth, Fiddlesticks, Janna, LeeSin, Riven, Sejuani, Zac",426,3.63,"Alistar, Annie, Ekko, Fiddlesticks, Janna, Syndra, Taliyah, Yuumi"
3,0,"Ekko, Fiddlesticks, Janna, Leblanc, Leona, Mordekaiser, Yasuo, Zed, Zoe",426,3.63,"Alistar, Annie, Ekko, Fiddlesticks, Janna, Syndra, Taliyah, Yuumi"
2,0,"Alistar, Draven, Fiddlesticks, Janna, MissFortune, Mordekaiser, Samira, Sejuani, Syndra, Vi",426,3.63,"Alistar, Annie, Ekko, Fiddlesticks, Janna, Syndra, Taliyah, Yuumi"
1,0,"Fiddlesticks, Janna, Leona, Mordekaiser, Sejuani, Syndra, Urgot",426,3.63,"Alistar, Annie, Ekko, Fiddlesticks, Janna, Syndra, Taliyah, Yuumi"
8,0,"Annie, BelVeth, Camille, Fiddlesticks, Janna, Viego",426,3.63,"Alistar, Annie, Ekko, Fiddlesticks, Janna, Syndra, Taliyah, Yuumi"
2,0,"Fiddlesticks, Janna, MissFortune, Riven, Sejuani, Urgot",426,3.63,"Alistar, Annie, Ekko, Fiddlesticks, Janna, Syndra, Taliyah, Yuumi"
2,0,"Ekko, Fiddlesticks, Janna, Leona, MissFortune, Nunu, Riven, Vi",426,3.63,"Alistar, Annie, Ekko, Fiddlesticks, Janna, Syndra, Taliyah, Yuumi"
8,0,"Alistar, Fiddlesticks, Janna, Nunu, Soraka, Syndra, Yuumi",426,3.63,"Alistar, Annie, Ekko, Fiddlesticks, Janna, Syndra, Taliyah, Yuumi"
5,0,"Annie, Ekko, Fiddlesticks, Janna, Soraka, Taliyah, Zac",426,3.63,"Alistar, Annie, Ekko, Fiddlesticks, Janna, Syndra, Taliyah, Yuumi"
2,0,"Alistar, Annie, Ekko, Fiddlesticks, Janna, Leblanc, Nunu, Soraka, Zoe",426,3.63,"Alistar, Annie, Ekko, Fiddlesticks, Janna, Syndra, Taliyah, Yuumi"
2,0,"Alistar, Aphelios, Fiddlesticks, Janna, Leona, Nunu, Sivir, Viego",426,3.63,"Alistar, Annie, Ekko, Fiddlesticks, Janna, Syndra, Taliyah, Yuumi"
8,0,"Chogath, Fiddlesticks, Janna, Nunu, Urgot, Zac",426,3.63,"Alistar, Annie, Ekko, Fiddlesticks, Janna, Syndra, Taliyah, Yuumi"
3,0,"Ekko, Fiddlesticks, Janna, Leblanc, Nunu, Syndra, Taliyah, Zoe",426,3.63,"Alistar, Annie, Ekko, Fiddlesticks, Janna, Syndra, Taliyah, Yuumi"
1,0,"Alistar, Ekko, Fiddlesticks, Janna, Leona, Nunu, Syndra, Urgot, Zoe",426,3.63,"Alistar, Annie, Ekko, Fiddlesticks, Janna, Syndra, Taliyah, Yuumi"
5,0,"Alistar, Fiddlesticks, Janna, Samira, Sivir, Viego, Zac",426,3.63,"Alistar, Annie, Ekko, Fiddlesticks, Janna, Syndra, Taliyah, Yuumi"
3,0,"Fiddlesticks, Janna, MissFortune, Nunu, Riven, Syndra, Urgot, Zoe",426,3.63,"Alistar, Annie, Ekko, Fiddlesticks, Janna, Syndra, Taliyah, Yuumi"
5,0,"Alistar, Annie, AurelionSol, Ekko, Fiddlesticks, Janna, Leona, Syndra, Vi",426,3.63,"Alistar, Annie, Ekko, Fiddlesticks, Janna, Syndra, Taliyah, Yuumi"
7,0,"Alistar, Ekko, Fiddlesticks, Janna, Nunu, Sejuani, Urgot, Zac",426,3.63,"Alistar, Annie, Ekko, Fiddlesticks, Janna, Syndra, Taliyah, Yuumi"
5,0,"Alistar, Annie, Ekko, Fiddlesticks, Janna, Syndra, Taliyah, Zoe",426,3.63,"Alistar, Annie, Ekko, Fiddlesticks, Janna, Syndra, Taliyah, Yuumi"
1,0,"Alistar, Chogath, Fiddlesticks, Janna, Samira, Sejuani, Senna, Vi, Zac",426,3.63,"Alistar, Annie, Ekko, Fiddlesticks, Janna, Syndra, Taliyah, Yuumi"
1,0,"Ekko, Fiddlesticks, Janna, Rammus, Sejuani, Syndra, Taliyah, Urgot",426,3.63,"Alistar, Annie, Ekko, Fiddlesticks, Janna, Syndra, Taliyah, Yuumi"
1,0,"BelVeth, Chogath, Fiddlesticks, Janna, Rammus, Urgot, Velkoz, Zac",426,3.63,"Alistar, Annie, Ekko, Fiddlesticks, Janna, Syndra, Taliyah, Yuumi"
1,0,"AurelionSol, Ekko, Fiddlesticks, Janna, Riven, Sett, Soraka, Syndra",426,3.63,"Alistar, Annie, Ekko, Fiddlesticks, Janna, Syndra, Taliyah, Yuumi"
3,0,"Annie, Fiddlesticks, Janna, Jinx, Nunu, Riven, Zac, Zoe",426,3.63,"Alistar, Annie, Ekko, Fiddlesticks, Janna, Syndra, Taliyah, Yuumi"
5,0,"BelVeth, Fiddlesticks, Janna, Leblanc, Urgot, Velkoz, Zac, Zed",426,3.63,"Alistar, Annie, Ekko, Fiddlesticks, Janna, Syndra, Taliyah, Yuumi"
1,0,"Ekko, Fiddlesticks, Janna, Leona, Mordekaiser, Rell, Sett, Taliyah",426,3.63,"Alistar, Annie, Ekko, Fiddlesticks, Janna, Syndra, Taliyah, Yuumi"
5,0,"Ekko, Fiddlesticks, Janna, Leblanc, Sejuani, Sona, Vi, Zoe",426,3.63,"Alistar, Annie, Ekko, Fiddlesticks, Janna, Syndra, Taliyah, Yuumi"
7,0,"AurelionSol, Ekko, Fiddlesticks, Janna, Sejuani, Urgot",426,3.63,"Alistar, Annie, Ekko, Fiddlesticks, Janna, Syndra, Taliyah, Yuumi"
5,0,"Alistar, Ekko, Fiddlesticks, Janna, Leona, Mordekaiser, Sejuani, Urgot",426,3.63,"Alistar, Annie, Ekko, Fiddlesticks, Janna, Syndra, Taliyah, Yuumi"
7,0,"Alistar, Ekko, Fiddlesticks, Janna, Jinx, MissFortune, Rammus, Sejuani",426,3.63,"Alistar, Annie, Ekko, Fiddlesticks, Janna, Syndra, Taliyah, Yuumi"
4,0,"Aphelios, Fiddlesticks, Janna, Mordekaiser, Nunu, Sett, Vi, Zac",426,3.63,"Alistar, Annie, Ekko, Fiddlesticks, Janna, Syndra, Taliyah, Yuumi"
5,0,"Ekko, Fiddlesticks, Janna, Nilah, Rell, Sejuani, Taliyah, Yuumi",426,3.63,"Alistar, Annie, Ekko, Fiddlesticks, Janna, Syndra, Taliyah, Yuumi"
7,0,"Alistar, Aphelios, Fiddlesticks, Janna, Leona, Rell, Syndra, Urgot, Yuumi",426,3.63,"Alistar, Annie, Ekko, Fiddlesticks, Janna, Syndra, Taliyah, Yuumi"
8,0,"Fiddlesticks, Janna, Leblanc, LeeSin, Sejuani, Soraka, Taliyah, Urgot",426,3.63,"Alistar, Annie, Ekko, Fiddlesticks, Janna, Syndra, Taliyah, Yuumi"
8,0,"Alistar, Camille, Ekko, Fiddlesticks, Fiora, Janna, Leona, Viego",426,3.63,"Alistar, Annie, Ekko, Fiddlesticks, Janna, Syndra, Taliyah, Yuumi"
1,0,"Fiddlesticks, Janna, Leona, Mordekaiser, Nunu, Syndra, Urgot, Yuumi",426,3.63,"Alistar, Annie, Ekko, Fiddlesticks, Janna, Syndra, Taliyah, Yuumi"
4,0,"Ekko, Fiddlesticks, Janna, Leona, MissFortune, Nunu, Soraka, Syndra, Urgot",426,3.63,"Alistar, Annie, Ekko, Fiddlesticks, Janna, Syndra, Taliyah, Yuumi"
3,0,"Fiddlesticks, Janna, Jax, Mordekaiser, Sett, Urgot, Zac",426,3.63,"Alistar, Annie, Ekko, Fiddlesticks, Janna, Syndra, Taliyah, Yuumi"
2,0,"Fiddlesticks, Janna, Leona, Mordekaiser, Nunu, Sejuani, Urgot, Zac",426,3.63,"Alistar, Annie, Ekko, Fiddlesticks, Janna, Syndra, Taliyah, Yuumi"
