placement,group,comp,grp_count,grp_placement,mode
1,0,"Jax, Leblanc, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe",425,4.34,"Leblanc, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe"
6,0,"Alistar, Fiora, Riven, Sejuani, Vayne, Vi, Yasuo, Zed, Zoe",425,4.34,"Leblanc, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe"
6,0,"Ekko, Ezreal, Nilah, Sett, Vayne, Yasuo, Zed, Zoe",425,4.34,"Leblanc, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe"
2,0,"Fiora, Leblanc, Sejuani, Vayne, Yasuo, Zac, Zed, Zoe",425,4.34,"Leblanc, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe"
4,0,"Fiddlesticks, Leblanc, Nilah, Sejuani, Urgot, Zac, Zed, Zoe",425,4.34,"Leblanc, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe"
2,0,"Ekko, Leblanc, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe",425,4.34,"Leblanc, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe"
6,0,"Ekko, Fiddlesticks, Jinx, Leblanc, MissFortune, Vayne, Zed, Zoe",425,4.34,"Leblanc, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe"
2,0,"AurelionSol, Ekko, Fiddlesticks, Leblanc, Rammus, Sejuani, Zoe",425,4.34,"Leblanc, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe"
5,0,"Alistar, Fiora, Leblanc, Leona, Sejuani, Vayne, Yasuo, Zed, Zoe",425,4.34,"Leblanc, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe"
5,0,"Fiddlesticks, Sejuani, Vayne, Yasuo, Zed",425,4.34,"Leblanc, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe"
4,0,"Leblanc, Nilah, Riven, Sejuani, Vayne, Yasuo, Zed, Zoe",425,4.34,"Leblanc, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe"
7,0,"Ekko, Jinx, Leblanc, Leona, MissFortune, Vayne, Zed, Zoe",425,4.34,"Leblanc, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe"
1,0,"Alistar, Ekko, Leblanc, Leona, Sejuani, Vayne, Yasuo, Zed, Zoe",425,4.34,"Leblanc, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe"
2,0,"Ekko, Sejuani, Zed, Zoe",425,4.34,"Leblanc, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe"
2,0,"Nilah, Sejuani, Vayne, Yasuo, Zac, Zed, Zoe",425,4.34,"Leblanc, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe"
8,0,"Fiddlesticks, Leblanc, Nilah, Sejuani, Urgot, Vayne, Yasuo, Zed",425,4.34,"Leblanc, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe"
6,0,"Ekko, Leona, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe",425,4.34,"Leblanc, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe"
8,0,"Nilah, Sejuani, Senna, Vayne, Yasuo",425,4.34,"Leblanc, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe"
5,0,"Leblanc, Mordekaiser, Nilah, Vayne, Yasuo, Zac, Zed, Zoe",425,4.34,"Leblanc, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe"
1,0,"Ekko, Jinx, Leblanc, Leona, MissFortune, Urgot, Vayne, Zed, Zoe",425,4.34,"Leblanc, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe"
4,0,"Alistar, Ekko, Fiora, Leblanc, Leona, Sejuani, Yasuo, Zed, Zoe",425,4.34,"Leblanc, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe"
3,0,"Alistar, Ekko, Fiora, Vayne, Velkoz, Yasuo, Zac, Zoe",425,4.34,"Leblanc, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe"
2,0,"Leona, Mordekaiser, Sejuani, Vayne, Yasuo, Zed, Zoe",425,4.34,"Leblanc, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe"
5,0,"BelVeth, Fiddlesticks, Leblanc, Leona, Mordekaiser, Urgot, Yasuo, Zed, Zoe",425,4.34,"Leblanc, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe"
7,0,"Fiora, Leblanc, Riven, Vayne, Yasuo, Zac, Zed",425,4.34,"Leblanc, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe"
2,0,"Jax, Leblanc, Riven, Sejuani, Yasuo, Zed, Zoe",425,4.34,"Leblanc, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe"
1,0,"Alistar, Ekko, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe",425,4.34,"Leblanc, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe"
7,0,"Ekko, Leblanc, Vayne, Yuumi, Zac, Zed, Zoe",425,4.34,"Leblanc, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe"
7,0,"Alistar, Ekko, Leblanc, Sejuani, Vayne, Yasuo, Zed, Zoe",425,4.34,"Leblanc, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe"
6,0,"AurelionSol, Ekko, Fiora, Sejuani, Vayne, Zac, Zed",425,4.34,"Leblanc, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe"
1,0,"BelVeth, Ekko, Fiddlesticks, Mordekaiser, Sejuani, Syndra, Vayne, Zed, Zoe",425,4.34,"Leblanc, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe"
6,0,"Alistar, Jinx, Riven, Sejuani, Vayne, Zed, Zoe",425,4.34,"Leblanc, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe"
8,0,"Alistar, Fiddlesticks, Leona, Nunu, Sejuani, Yasuo, Zed, Zoe",425,4.34,"Leblanc, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe"
5,0,"Ekko, Leblanc, Sejuani, Urgot, Yasuo, Zed, Zoe",425,4.34,"Leblanc, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe"
3,0,"Ekko, Leblanc, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe",425,4.34,"Leblanc, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe"
5,0,"Ekko, Leblanc, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe",425,4.34,"Leblanc, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe"
5,0,"AurelionSol, Fiora, Leblanc, Sejuani, Urgot, Zac, Zed",425,4.34,"Leblanc, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe"
3,0,"Janna, Leblanc, Sejuani, Yasuo, Zed, Zoe",425,4.34,"Leblanc, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe"
5,0,"BelVeth, Fiora, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe",425,4.34,"Leblanc, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe"
1,0,"Fiddlesticks, Leona, Nilah, Sejuani, Vayne, Vi, Yasuo, Zed, Zoe",425,4.34,"Leblanc, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe"
2,0,"Ekko, Leona, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe",425,4.34,"Leblanc, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe"
2,0,"Ekko, Fiddlesticks, Fiora, Sejuani, Urgot, Vayne, Yasuo, Zed, Zoe",425,4.34,"Leblanc, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe"
3,0,"Fiddlesticks, Nilah, Sejuani, Senna, Yasuo, Zac, Zed, Zoe",425,4.34,"Leblanc, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe"
5,0,"Nilah, Rell, Riven, Sejuani, Vayne, Yasuo, Zed, Zoe",425,4.34,"Leblanc, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe"
5,0,"Leblanc, Leona, Sejuani, Sett, Vayne, Vi, Yasuo, Zed",425,4.34,"Leblanc, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe"
7,0,"MissFortune, Riven, Sejuani, Urgot, Vayne, Zed, Zoe",425,4.34,"Leblanc, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe"
3,0,"Fiddlesticks, Fiora, Leona, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe",425,4.34,"Leblanc, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe"
2,0,"Fiddlesticks, Leblanc, Mordekaiser, Nilah, Urgot, Vayne, Yasuo, Zed, Zoe",425,4.34,"Leblanc, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe"
2,0,"Fiddlesticks, Fiora, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe",425,4.34,"Leblanc, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe"
8,0,"Annie, Fiora, Nilah, Vayne, Zed, Zoe",425,4.34,"Leblanc, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe"
6,0,"Leblanc, Mordekaiser, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe",425,4.34,"Leblanc, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe"
6,0,"Alistar, Ekko, Fiora, Vayne, Vi, Yasuo, Zed, Zoe",425,4.34,"Leblanc, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe"
2,0,"Alistar, Ekko, Fiora, Sejuani, Vayne, Yasuo, Zed, Zoe",425,4.34,"Leblanc, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe"
2,0,"Leblanc, Leona, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe",425,4.34,"Leblanc, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe"
8,0,"Fiora, Leblanc, Nilah, Sejuani, Sivir, Zed, Zoe",425,4.34,"Leblanc, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe"
8,0,"BelVeth, Nilah, Vayne, Yasuo, Zed, Zoe",425,4.34,"Leblanc, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe"
1,0,"Fiddlesticks, Fiora, Leblanc, Nilah, Sejuani, Yasuo, Zed, Zoe",425,4.34,"Leblanc, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe"
2,0,"Fiora, Sejuani, Yasuo, Zed, Zoe",425,4.34,"Leblanc, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe"
3,0,"Fiddlesticks, Leblanc, Nilah, Sejuani, Vayne, Vi, Yasuo, Zed",425,4.34,"Leblanc, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe"
6,0,"Alistar, Fiora, Leblanc, Sejuani, Vayne, Vi, Zac, Zed",425,4.34,"Leblanc, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe"
1,0,"Leblanc, Nilah, Sejuani, Vayne, Vi, Yasuo, Zed, Zoe",425,4.34,"Leblanc, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe"
7,0,"Leblanc, Sejuani, Yasuo, Zed, Zoe",425,4.34,"Leblanc, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe"
4,0,"Fiddlesticks, Fiora, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe",425,4.34,"Leblanc, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe"
4,0,"Alistar, BelVeth, Sejuani, Vayne, Viego, Yasuo, Zed, Zoe",425,4.34,"Leblanc, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe"
6,0,"Ezreal, Kaisa, Mordekaiser, Sejuani, Vayne, Yasuo, Zac",425,4.34,"Leblanc, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe"
4,0,"BelVeth, Leblanc, Nilah, Rammus, Riven, Sejuani, Yasuo, Zed",425,4.34,"Leblanc, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe"
6,0,"Leblanc, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe",425,4.34,"Leblanc, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe"
6,0,"Ekko, Jinx, Leblanc, MissFortune, Sejuani, Vayne, Zed, Zoe",425,4.34,"Leblanc, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe"
3,0,"Fiora, Leblanc, Sejuani, Vayne, Yasuo, Zac, Zed, Zoe",425,4.34,"Leblanc, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe"
6,0,"BelVeth, Ekko, Fiddlesticks, Leblanc, Sejuani, Vayne, Zed, Zoe",425,4.34,"Leblanc, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe"
3,0,"Alistar, Ekko, Fiddlesticks, Leblanc, Leona, Mordekaiser, Sejuani, Zed, Zoe",425,4.34,"Leblanc, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe"
4,0,"Ekko, Kaisa, Nilah, Urgot, Vayne, Yasuo, Zed, Zoe",425,4.34,"Leblanc, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe"
8,0,"AurelionSol, Ekko, Jinx, MissFortune, Vayne, Zac, Zed, Zoe",425,4.34,"Leblanc, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe"
6,0,"Jax, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe",425,4.34,"Leblanc, Nilah, Sejuani, Vayne, Yasuo, Zed, Zoe"
