unit,items,value_count,average_placement
TFT8_Alistar,"None, None, Shroud",79,3.14
TFT8_Alistar,"GiantsBelt, None, None",38,3.42
TFT8_Alistar,"None, None, ZekesHerald",12,3.5
TFT8_Alistar,"IonicSpark, None, None",37,3.54
TFT8_Alistar,"ChainVest, None, None",29,3.59
TFT8_Annie,"GargoyleStoneplate, GargoyleStoneplate, WarmogsArmor",12,3.5
TFT8_Annie,"BrambleVest, GargoyleStoneplate, IonicSpark",12,3.5
TFT8_Annie,"BrambleVest, IonicSpark, WarmogsArmor",15,3.53
TFT8_Annie,"GargoyleStoneplate, IonicSpark, WarmogsArmor",35,3.57
TFT8_Annie,"None, None, TitanicHydra",38,3.89
TFT8_Aphelios,"GuinsoosRageblade, InfinityEdge, MadredsBloodrazor",12,2.25
TFT8_Aphelios,"InfinityEdge, LastWhisper, MadredsBloodrazor",15,2.93
TFT8_Aphelios,"GuinsoosRageblade, LastWhisper, MadredsBloodrazor",23,3.04
TFT8_Aphelios,"GuinsoosRageblade, MadredsBloodrazor, UnstableConcoction",18,3.17
TFT8_Aphelios,"Bloodthirster, GuinsoosRageblade, MadredsBloodrazor",15,3.27
TFT8_Ashe,"InfinityEdge, LastWhisper, MadredsBloodrazor",14,3.21
TFT8_Ashe,"GuinsoosRageblade, InfinityEdge, LastWhisper",28,3.54
TFT8_Ashe,"GuinsoosRageblade, LastWhisper, RunaansHurricane",28,3.57
TFT8_Ashe,"GuinsoosRageblade, LastWhisper, MadredsBloodrazor",46,3.8
TFT8_Ashe,"Deathblade, GuinsoosRageblade, LastWhisper",86,3.84
TFT8_AurelionSol,"ArchangelsStaff, JeweledGauntlet, SpearOfShojin",40,3.98
TFT8_AurelionSol,"None, None, None",11612,4.49
TFT8_AurelionSol,"JeweledGauntlet, MadredsBloodrazor, SpearOfShojin",36,4.75
TFT8_AurelionSol,"ArchangelsStaff, None, None",14,4.79
TFT8_AurelionSol,"ArchangelsStaff, None, SpearOfShojin",15,4.8
TFT8_BelVeth,"Bloodthirster, LastWhisper, TitansResolve",12,4.0
TFT8_BelVeth,"None, None, None",11767,4.49
TFT8_Blitzcrank,"None, None, Zephyr",25,3.12
TFT8_Blitzcrank,"None, None, Shroud",18,3.33
TFT8_Blitzcrank,"ExoPrimeEmblemItem, None, None",26,4.04
TFT8_Blitzcrank,"None, None, Redemption",12,4.33
TFT8_Blitzcrank,"None, None, TitanicHydra",27,4.44
TFT8_Camille,"Bloodthirster, TitansResolve, TitansResolve",17,2.53
TFT8_Camille,"Bloodthirster, TitansResolve, UnstableConcoction",28,2.96
TFT8_Camille,"InfinityEdge, TitansResolve, UnstableConcoction",27,4.0
TFT8_Camille,"Bloodthirster, InfinityEdge, TitansResolve",112,4.26
TFT8_Camille,"Bloodthirster, MadredsBloodrazor, TitansResolve",16,4.44
TFT8_Chogath,"None, None, None",11940,4.5
TFT8_Chogath,"IonicSpark, None, None",20,4.65
TFT8_Chogath,"DragonsClaw, None, None",14,5.14
TFT8_Draven,"None, None, None",12255,4.5
TFT8_Draven,"BrawlerEmblemItem, None, None",17,5.18
TFT8_Draven,"Bloodthirster, InfinityEdge, TitansResolve",19,5.63
TFT8_Ekko,"FrozenHeart, None, None",26,2.92
TFT8_Ekko,"None, None, Zephyr",53,3.34
TFT8_Ekko,"LocketOfTheIronSolari, None, None",18,3.5
TFT8_Ekko,"FrozenHeart, PowerGauntlet, ThiefsGloves",13,3.62
TFT8_Ekko,"None, None, TitanicHydra",96,3.64
TFT8_Ezreal,"None, None, None",12279,4.49
TFT8_Ezreal,"JeweledGauntlet, MadredsBloodrazor, SeraphsEmbrace",16,4.62
TFT8_Fiddlesticks,"GenAE, None, None",13,2.77
TFT8_Fiddlesticks,"None, None, Shroud",18,2.89
TFT8_Fiddlesticks,"ArchangelsStaff, None, None",27,3.07
TFT8_Fiddlesticks,"IonicSpark, Morellonomicon, None",14,3.57
TFT8_Fiddlesticks,"MadredsBloodrazor, None, None",18,3.61
TFT8_Fiora,"None, None, TitanicHydra",15,3.4
TFT8_Fiora,"None, None, Zephyr",16,4.0
TFT8_Fiora,"None, None, ZekesHerald",15,4.13
TFT8_Fiora,"None, None, Shroud",26,4.15
TFT8_Fiora,"None, None, None",12100,4.51
TFT8_Galio,"None, None, Zephyr",15,3.8
TFT8_Galio,"None, None, None",12171,4.5
TFT8_Gangplank,"None, None, Zephyr",25,3.16
TFT8_Gangplank,"LocketOfTheIronSolari, None, None",16,3.56
TFT8_Gangplank,"InterPolarisEmblemItem, None, None",15,3.6
TFT8_Gangplank,"None, None, Shroud",17,3.65
TFT8_Gangplank,"None, None, SeraphsEmbrace",14,4.43
TFT8_Janna,"None, None, ZekesHerald",27,2.56
TFT8_Janna,"GenAE, None, None",12,2.75
TFT8_Janna,"None, None, Redemption",40,2.78
TFT8_Janna,"Chalice, None, None",31,2.87
TFT8_Janna,"None, None, OrnnRanduinsSanctum",27,3.07
TFT8_Jax,"Bloodthirster, GuinsoosRageblade, RapidFireCannon",72,3.26
TFT8_Jax,"GuinsoosRageblade, Quicksilver, TitansResolve",16,3.44
TFT8_Jax,"Bloodthirster, GuinsoosRageblade, Quicksilver",285,3.65
TFT8_Jax,"GuinsoosRageblade, MadredsBloodrazor, UnstableConcoction",12,3.75
TFT8_Jax,"Bloodthirster, RapidFireCannon, TitansResolve",20,3.8
TFT8_Jinx,"None, None, Zephyr",12,4.17
TFT8_Jinx,"None, None, None",12321,4.5
TFT8_Jinx,"None, None, StatikkShiv",13,4.69
TFT8_Kaisa,"JeweledGauntlet, MadredsBloodrazor, StatikkShiv",15,4.33
TFT8_Kaisa,"None, None, None",11906,4.48
