augment0_grp,Value_Count,average_placement
TFT8_Augment_VayneCarry,1,2.0
TFT8_Augment_VelkozFrostburn,3,2.0
TFT8_Augment_LeBlancGlitch,1,2.0
TFT8_Augment_JaxASCarry,3,2.33
TFT8_Augment_AlistarBeefUp,2,2.5
TFT8_Augment_ReconEmblem2,2,2.5
TFT6_Augment_LudensEcho3,48,3.17
TFT8_Augment_WukongCarry,10,3.2
TFT6_Augment_ThriftShop,13,3.23
TFT8_Augment_AnimaSquadEmblem2,9,3.33
TFT6_Augment_Twins2,19,3.47
TFT8_Augment_PranksterEmblem2,14,3.5
TFT6_Augment_Featherweights2,18,3.5
TFT8_Augment_LuluCarry,23,3.52
TFT6_Augment_Featherweights3,14,3.57
TFT8_Augment_OxForceEmblem2,46,3.63
TFT6_Augment_FuturePeepers,19,3.63
TFT8_Augment_StarGuardianEmblem,3,3.67
TFT8_Augment_DefenderEmblem2,3,3.67
TFT8_Augment_RenegadeTrait,45,3.69
TFT8_Augment_SylasCarry,7,3.71
TFT8_Augment_YasuoCarry,35,3.74
TFT8_Augment_VayneSupport,12,3.75
TFT8_Augment_RammusCarry,4,3.75
TFT7_Augment_ScopedWeapons1,49,3.76
TFT6_Augment_GachaAddict,55,3.8
TFT8_Augment_BrawlerEmblem,40,3.82
TFT8_Augment_ExoPrimeEmblem2,23,3.83
TFT8_Augment_YuumiCarry,18,3.83
TFT8_Augment_ChannelerTrait,23,3.83
TFT8_Augment_ViSupport,170,3.86
TFT8_Augment_BrawlerEmblem2,32,3.88
TFT6_Augment_Twins3,24,3.88
TFT8_Augment_RenektonCarry,18,3.89
TFT6_Augment_LudensEcho2,62,3.89
TFT7_Augment_SacrificialPact,31,3.9
TFT8_Augment_PranksterEmblem,31,3.94
TFT8_Augment_CamilleSupport,102,3.95
TFT6_Augment_HyperRoll,25,3.96
TFT8_Augment_CamilleCarry,51,3.96
TFT6_Augment_SlowAndSteady,31,3.97
TFT8_Augment_BlitzcrankCarry,42,3.98
TFT8_Augment_OxForceEmblem,45,3.98
TFT8_Augment_ZoeDoubleTrouble,1,4.0
TFT8_Augment_GalioCarry,13,4.0
TFT8_Augment_HeartTrait,12,4.0
TFT8_Augment_RellCarry,5,4.0
TFT8_Augment_ChannelerEmblem2,15,4.0
TFT8_Augment_RivenSupport,9,4.0
TFT6_Augment_SecondWind2,49,4.02
TFT8_Augment_WukongSupport,48,4.02
TFT6_Augment_CyberneticUplink1,23,4.04
TFT8_Augment_AsheCarry,39,4.08
TFT6_Augment_Electrocharge3,51,4.1
TFT6_Augment_SunfireBoard,42,4.1
TFT6_Augment_JeweledLotus,64,4.12
TFT8_Augment_RellSupport,34,4.12
TFT8_Augment_RenegadeEmblem,31,4.13
TFT8_Augment_DeadeyeTrait,14,4.14
TFT8_Augment_AsheSupport,75,4.15
TFT6_Augment_MeleeStarBlade2,31,4.16
TFT6_Augment_Distancing,22,4.18
TFT6_Augment_ClearMind,42,4.19
TFT8_Augment_DefenderEmblem,5,4.2
TFT8_Augment_StarGuardianTrait,10,4.2
TFT8_Augment_InterPolarisEmblem2,5,4.2
TFT8_Augment_DuelistEmblem2,29,4.21
TFT6_Augment_TradeSector,79,4.22
TFT6_Augment_CelestialBlessing1,84,4.23
TFT8_Augment_UndergroundTheTrait,30,4.23
TFT8_Augment_ViCarry,22,4.23
TFT6_Augment_Electrocharge2,75,4.24
TFT8_Augment_RenektonSupport,129,4.28
TFT6_Augment_TriForce2,25,4.28
TFT8_Augment_BrawlerTrait,70,4.29
TFT6_Augment_CyberneticUplink2,10,4.3
TFT6_Augment_Battlemage1,115,4.3
TFT6_Augment_Distancing2,20,4.3
TFT7_Augment_BandOfThieves1,167,4.31
TFT7_Augment_Preparation3,38,4.32
TFT8_Augment_TalonCarry,22,4.32
TFT6_Augment_Featherweights1,19,4.32
TFT6_Augment_PortableForge,91,4.33
TFT7_Augment_UrfsGrabBag2,58,4.33
TFT8_Augment_SonaSupport,3,4.33
TFT6_Augment_MeleeStarBlade1,47,4.34
TFT6_Augment_Electrocharge1,152,4.36
TFT8_Augment_JaxSupport,11,4.36
TFT6_Augment_Ascension,45,4.38
TFT8_Augment_TalonSupport,84,4.39
TFT7_Augment_Preparation2,58,4.4
TFT6_Augment_TriForce1,27,4.41
TFT8_Augment_YuumiSupport,43,4.42
TFT6_Augment_Twins1,19,4.42
TFT8_Augment_ChannelerEmblem,18,4.44
TFT8_Augment_HackerEmblem,20,4.45
TFT6_Augment_ItemGrabBag1,161,4.45
TFT6_Augment_LudensEcho1,71,4.45
TFT7_Augment_LivingForge,42,4.45
TFT6_Augment_SecondWind1,111,4.48
TFT6_Augment_TriForce3,14,4.5
TFT8_Augment_AnimaSquadEmblem,8,4.5
TFT8_Augment_ReconEmblem,2,4.5
TFT8_Augment_NasusCarry,39,4.51
TFT8_Augment_KayleSupport,56,4.52
TFT7_Augment_BirthdayPresents,61,4.52
TFT6_Augment_PandorasItems,32,4.53
TFT8_Augment_LuxSupport,36,4.53
TFT6_Augment_BlueBattery1,58,4.53
TFT8_Augment_KayleCarry,24,4.54
TFT6_Augment_CalculatedLoss,26,4.54
TFT8_Augment_MascotEmblem2,11,4.55
TFT8_Augment_FioraSupport,38,4.55
TFT6_Augment_ThreesCompany,91,4.55
