placement,group,comp,grp_count,grp_placement,mode
4,-1,"BelVeth, Camille, Janna, Leblanc, LeeSin, Soraka",,,"Alistar, Annie, Ekko, Leblanc, Sona, Zoe"
5,-1,"Alistar, AurelionSol, Chogath, Leona, Rammus, Velkoz",,,"Alistar, Annie, Ekko, Leblanc, Sona, Zoe"
5,-1,"Alistar, Aphelios, Ekko, Janna, LeeSin, Sejuani, Sivir, Sona, Soraka",,,"Alistar, Annie, Ekko, Leblanc, Sona, Zoe"
5,-1,"Alistar, Ekko, Malphite, Nunu, Syndra, Velkoz, Yuumi",,,"Alistar, Annie, Ekko, Leblanc, Sona, Zoe"
5,-1,"AurelionSol, Ekko, Jax, LeeSin, Leona, Riven, Sejuani, Vi",,,"Alistar, Annie, Ekko, Leblanc, Sona, Zoe"
5,-1,"Alistar, Annie, Fiora, Leblanc, Nilah, Vayne, Zed, Zoe",,,"Alistar, Annie, Ekko, Leblanc, Sona, Zoe"
5,-1,"BelVeth, Ekko, Leblanc, Nilah, Rammus, Zac, Zed, Zoe",,,"Alistar, Annie, Ekko, Leblanc, Sona, Zoe"
5,-1,"Alistar, Draven, Janna, Jax, Leona, Riven, Sett, Viego",,,"Alistar, Annie, Ekko, Leblanc, Sona, Zoe"
5,-1,"Alistar, Ekko, Leblanc, Nunu, Sejuani, Vayne, Vi, Zed, Zoe",,,"Alistar, Annie, Ekko, Leblanc, Sona, Zoe"
5,-1,"Alistar, Draven, Ekko, Jax, Riven, Sejuani, Vi",,,"Alistar, Annie, Ekko, Leblanc, Sona, Zoe"
5,-1,"Annie, Ekko, Leona, Rell, Sett, Taliyah, Zoe",,,"Alistar, Annie, Ekko, Leblanc, Sona, Zoe"
5,-1,"MissFortune, Rell, Riven, Sejuani, Vayne, Vi, Zed, Zoe",,,"Alistar, Annie, Ekko, Leblanc, Sona, Zoe"
5,-1,"Alistar, Annie, Ekko, Nunu, Rell, Soraka, Taliyah, Zoe",,,"Alistar, Annie, Ekko, Leblanc, Sona, Zoe"
5,-1,"Ekko, Kaisa, Nilah, Rammus, Sejuani, Vayne, Vi",,,"Alistar, Annie, Ekko, Leblanc, Sona, Zoe"
5,-1,"Alistar, Annie, Janna, Leblanc, Nunu, Velkoz, Zoe",,,"Alistar, Annie, Ekko, Leblanc, Sona, Zoe"
5,-1,"Alistar, Camille, Leona, Mordekaiser, Nunu, Vi",,,"Alistar, Annie, Ekko, Leblanc, Sona, Zoe"
5,-1,"Chogath, Jax, Nilah, Rammus, Sejuani, Sett, Velkoz",,,"Alistar, Annie, Ekko, Leblanc, Sona, Zoe"
5,-1,"Annie, Ekko, Fiora, Leblanc, Taliyah, Zed, Zoe",,,"Alistar, Annie, Ekko, Leblanc, Sona, Zoe"
5,-1,"AurelionSol, Leblanc, Rammus, Urgot, Yasuo, Zac, Zed, Zoe",,,"Alistar, Annie, Ekko, Leblanc, Sona, Zoe"
5,-1,"Alistar, LeeSin, Malphite, Nunu, Sejuani, Yasuo",,,"Alistar, Annie, Ekko, Leblanc, Sona, Zoe"
5,-1,"Camille, Leblanc, Sejuani, Soraka, Yasuo, Zed, Zoe",,,"Alistar, Annie, Ekko, Leblanc, Sona, Zoe"
5,-1,"Alistar, Ekko, Fiddlesticks, Jinx, Nunu, Zac, Zed, Zoe",,,"Alistar, Annie, Ekko, Leblanc, Sona, Zoe"
5,-1,"Alistar, Annie, Camille, Ekko, Leblanc, Nunu, Viego",,,"Alistar, Annie, Ekko, Leblanc, Sona, Zoe"
5,-1,"Ezreal, LeeSin, Leona, Malphite, Vayne, Vi",,,"Alistar, Annie, Ekko, Leblanc, Sona, Zoe"
5,-1,"Ekko, Fiora, Mordekaiser, Nilah, Yasuo, Zed, Zoe",,,"Alistar, Annie, Ekko, Leblanc, Sona, Zoe"
5,-1,"Chogath, Ekko, MissFortune, Nilah, Samira, Sejuani, Sett, Zac",,,"Alistar, Annie, Ekko, Leblanc, Sona, Zoe"
5,-1,"Alistar, Fiora, Leblanc, Leona, Nilah, Vayne, Yasuo, Zed",,,"Alistar, Annie, Ekko, Leblanc, Sona, Zoe"
5,-1,"Alistar, Aphelios, BelVeth, Chogath, Ekko, Leona, Vi, Zoe",,,"Alistar, Annie, Ekko, Leblanc, Sona, Zoe"
5,-1,"Alistar, Aphelios, Ekko, Janna, Sejuani, Sivir, Urgot",,,"Alistar, Annie, Ekko, Leblanc, Sona, Zoe"
5,-1,"Alistar, Janna, Leona, MissFortune, Sett, Velkoz, Viego",,,"Alistar, Annie, Ekko, Leblanc, Sona, Zoe"
5,-1,"Alistar, Camille, LeeSin, Leona, Sejuani, Viego",,,"Alistar, Annie, Ekko, Leblanc, Sona, Zoe"
