placement,group,comp,grp_count,grp_placement,mode
5,0,"Fiddlesticks, Leona, MissFortune, Nunu, Samira, Sett, Syndra, Vayne",162,3.38,"Fiddlesticks, Jax, LeeSin, Riven, Sejuani, Soraka, Vi"
3,0,"Fiddlesticks, Jax, LeeSin, Mordekaiser, Sejuani, Syndra, Vi",162,3.38,"Fiddlesticks, Jax, LeeSin, Riven, Sejuani, Soraka, Vi"
6,0,"Alistar, Ekko, Fiddlesticks, Leona, Samira, Sejuani, Senna, Vi",162,3.38,"Fiddlesticks, Jax, LeeSin, Riven, Sejuani, Soraka, Vi"
3,0,"Fiddlesticks, Jax, Leblanc, Riven, Sejuani, Sett, Vi, Zoe",162,3.38,"Fiddlesticks, Jax, LeeSin, Riven, Sejuani, Soraka, Vi"
2,0,"Fiddlesticks, Jax, LeeSin, Leona, Riven, Sejuani, Soraka, Vi",162,3.38,"Fiddlesticks, Jax, LeeSin, Riven, Sejuani, Soraka, Vi"
1,0,"Camille, Fiddlesticks, Leona, Sejuani, Sett, Viego",162,3.38,"Fiddlesticks, Jax, LeeSin, Riven, Sejuani, Soraka, Vi"
2,0,"Aphelios, Fiddlesticks, Fiora, LeeSin, Leona, Malphite, Nunu, Sejuani",162,3.38,"Fiddlesticks, Jax, LeeSin, Riven, Sejuani, Soraka, Vi"
2,0,"Alistar, Chogath, Fiddlesticks, Leona, Samira, Sejuani, Senna, Vi, Zac",162,3.38,"Fiddlesticks, Jax, LeeSin, Riven, Sejuani, Soraka, Vi"
6,0,"Fiddlesticks, Jax, Riven, Sejuani, Sett, Vi",162,3.38,"Fiddlesticks, Jax, LeeSin, Riven, Sejuani, Soraka, Vi"
2,0,"Alistar, Aphelios, Fiddlesticks, Fiora, Leblanc, Leona, Mordekaiser, Sejuani, Zed",162,3.38,"Fiddlesticks, Jax, LeeSin, Riven, Sejuani, Soraka, Vi"
1,0,"Alistar, AurelionSol, Ekko, Fiddlesticks, Jinx, MissFortune, Riven, Sejuani, Sett",162,3.38,"Fiddlesticks, Jax, LeeSin, Riven, Sejuani, Soraka, Vi"
5,0,"Alistar, AurelionSol, Ekko, Fiddlesticks, Samira, Sejuani, Sivir, Vi",162,3.38,"Fiddlesticks, Jax, LeeSin, Riven, Sejuani, Soraka, Vi"
6,0,"Alistar, Aphelios, Fiddlesticks, Leona, Samira, Sejuani, Urgot, Vi",162,3.38,"Fiddlesticks, Jax, LeeSin, Riven, Sejuani, Soraka, Vi"
