placement,group,comp,grp_count,grp_placement,mode
1,0,"Alistar, Aphelios, Camille, Ekko, Fiora, Leona, Viego, Zoe",435,3.92,"Alistar, Annie, Aphelios, Ekko, Fiora, Leona, Viego"
8,0,"Alistar, Annie, Aphelios, Ekko, Fiora, Leona, Viego",435,3.92,"Alistar, Annie, Aphelios, Ekko, Fiora, Leona, Viego"
2,0,"Alistar, Aphelios, Fiddlesticks, Nunu, Sejuani, Viego",435,3.92,"Alistar, Annie, Aphelios, Ekko, Fiora, Leona, Viego"
7,0,"Alistar, Annie, Camille, Ekko, Fiora, Samira, Vi, Viego",435,3.92,"Alistar, Annie, Aphelios, Ekko, Fiora, Leona, Viego"
2,0,"Annie, Aphelios, Fiora, Janna, Leblanc, Viego, Zed",435,3.92,"Alistar, Annie, Aphelios, Ekko, Fiora, Leona, Viego"
2,0,"Alistar, Annie, Aphelios, Ekko, Fiora, Leona, Mordekaiser, Viego",435,3.92,"Alistar, Annie, Aphelios, Ekko, Fiora, Leona, Viego"
2,0,"Alistar, Ekko, Fiora, Nilah, Viego, Yasuo",435,3.92,"Alistar, Annie, Aphelios, Ekko, Fiora, Leona, Viego"
2,0,"Alistar, Aphelios, Camille, Leona, Viego",435,3.92,"Alistar, Annie, Aphelios, Ekko, Fiora, Leona, Viego"
2,0,"Alistar, Annie, Aphelios, Fiora, Leona, Nunu, Samira, Viego",435,3.92,"Alistar, Annie, Aphelios, Ekko, Fiora, Leona, Viego"
2,0,"Alistar, Annie, Aphelios, Camille, Ekko, Fiora, Soraka, Viego",435,3.92,"Alistar, Annie, Aphelios, Ekko, Fiora, Leona, Viego"
2,0,"Alistar, Aphelios, Ekko, Leona, Vi, Viego",435,3.92,"Alistar, Annie, Aphelios, Ekko, Fiora, Leona, Viego"
2,0,"Alistar, Annie, Aphelios, Janna, Leona, Sivir, Viego",435,3.92,"Alistar, Annie, Aphelios, Ekko, Fiora, Leona, Viego"
7,0,"Alistar, Annie, Camille, Fiora, MissFortune, Viego",435,3.92,"Alistar, Annie, Aphelios, Ekko, Fiora, Leona, Viego"
2,0,"Alistar, Aphelios, Ekko, Fiora, Leona, MissFortune, Nunu, Viego",435,3.92,"Alistar, Annie, Aphelios, Ekko, Fiora, Leona, Viego"
7,0,"Alistar, Aphelios, Camille, Leona, Viego",435,3.92,"Alistar, Annie, Aphelios, Ekko, Fiora, Leona, Viego"
7,0,"Alistar, Aphelios, Fiora, Vi, Viego, Zed, Zoe",435,3.92,"Alistar, Annie, Aphelios, Ekko, Fiora, Leona, Viego"
2,0,"Alistar, Annie, Aphelios, Camille, Janna, Leona, Viego",435,3.92,"Alistar, Annie, Aphelios, Ekko, Fiora, Leona, Viego"
2,0,"Alistar, Annie, Aphelios, Fiora, Leona, Sejuani, Viego",435,3.92,"Alistar, Annie, Aphelios, Ekko, Fiora, Leona, Viego"
2,0,"Alistar, Annie, Aphelios, Fiora, Leona, Urgot, Viego, Zed",435,3.92,"Alistar, Annie, Aphelios, Ekko, Fiora, Leona, Viego"
2,0,"Alistar, Annie, Camille, Fiora, Nunu, Sona, Soraka, Viego",435,3.92,"Alistar, Annie, Aphelios, Ekko, Fiora, Leona, Viego"
2,0,"Alistar, Aphelios, Camille, Fiora, Leona, Viego",435,3.92,"Alistar, Annie, Aphelios, Ekko, Fiora, Leona, Viego"
2,0,"Alistar, Annie, Aphelios, Janna, Leona, Samira, Viego",435,3.92,"Alistar, Annie, Aphelios, Ekko, Fiora, Leona, Viego"
2,0,"Alistar, Annie, Aphelios, Leona, Samira, Vi, Viego",435,3.92,"Alistar, Annie, Aphelios, Ekko, Fiora, Leona, Viego"
2,0,"Aphelios, Camille, Ekko, Leblanc, Leona, Soraka, Viego, Zoe",435,3.92,"Alistar, Annie, Aphelios, Ekko, Fiora, Leona, Viego"
2,0,"Alistar, Annie, Fiora, Jax, Leona, Viego",435,3.92,"Alistar, Annie, Aphelios, Ekko, Fiora, Leona, Viego"
2,0,"Alistar, Annie, Aphelios, Camille, Ekko, Leona, Viego",435,3.92,"Alistar, Annie, Aphelios, Ekko, Fiora, Leona, Viego"
8,0,"Alistar, Aphelios, BelVeth, Ekko, Nilah, Viego",435,3.92,"Alistar, Annie, Aphelios, Ekko, Fiora, Leona, Viego"
2,0,"Alistar, Aphelios, Camille, Fiddlesticks, Leona, Viego",435,3.92,"Alistar, Annie, Aphelios, Ekko, Fiora, Leona, Viego"
8,0,"Alistar, Annie, Aphelios, Fiora, MissFortune, Rammus, Vayne",435,3.92,"Alistar, Annie, Aphelios, Ekko, Fiora, Leona, Viego"
2,0,"Alistar, Annie, Aphelios, Fiddlesticks, Janna, Leona, Mordekaiser, Viego",435,3.92,"Alistar, Annie, Aphelios, Ekko, Fiora, Leona, Viego"
2,0,"Alistar, Annie, Aphelios, Camille, Leona, Samira, Viego, Zac",435,3.92,"Alistar, Annie, Aphelios, Ekko, Fiora, Leona, Viego"
2,0,"Alistar, Aphelios, Camille, Leona, Sett, Viego",435,3.92,"Alistar, Annie, Aphelios, Ekko, Fiora, Leona, Viego"
2,0,"Aphelios, Leona, Samira, Sejuani, Syndra, Vi, Viego",435,3.92,"Alistar, Annie, Aphelios, Ekko, Fiora, Leona, Viego"
