unit,items,value_count,average_placement
TFT8_Alistar,"IonicSpark, None, RedBuff",15,2.93
TFT8_Alistar,"LocketOfTheIronSolari, None, None",18,2.94
TFT8_Alistar,"None, None, Zephyr",63,3.68
TFT8_Alistar,"None, None, PranksterEmblemItem",22,3.77
TFT8_Alistar,"None, None, Shroud",64,3.77
TFT8_Annie,"GargoyleStoneplate, RedBuff, WarmogsArmor",12,3.92
TFT8_Annie,"IonicSpark, None, None",18,3.94
TFT8_Annie,"None, None, TitanicHydra",30,4.37
TFT8_Annie,"GargoyleStoneplate, None, RedBuff",17,4.47
TFT8_Annie,"None, None, None",6518,4.51
TFT8_Aphelios,"GuinsoosRageblade, MadredsBloodrazor, None",14,3.21
TFT8_Aphelios,"None, None, StatikkShiv",26,3.58
TFT8_Aphelios,"None, None, RenegadeEmblemItem",13,4.23
TFT8_Aphelios,"MadredsBloodrazor, None, None",15,4.27
TFT8_Aphelios,"BFSword, None, None",13,4.38
TFT8_Ashe,"GuinsoosRageblade, MadredsBloodrazor, RunaansHurricane",14,2.86
TFT8_Ashe,"GuinsoosRageblade, LastWhisper, MadredsBloodrazor",37,3.86
TFT8_Ashe,"Deathblade, LastWhisper, RunaansHurricane",36,3.86
TFT8_Ashe,"Deathblade, GuinsoosRageblade, LastWhisper",24,3.92
TFT8_Ashe,"GuinsoosRageblade, LastWhisper, RunaansHurricane",27,3.93
TFT8_AurelionSol,"None, None, None",7254,4.49
TFT8_AurelionSol,"ArchangelsStaff, JeweledGauntlet, SpearOfShojin",13,5.08
TFT8_AurelionSol,"None, None, SpearOfShojin",12,5.92
TFT8_BelVeth,"None, None, None",7093,4.5
TFT8_Blitzcrank,"None, None, Shroud",22,3.55
TFT8_Blitzcrank,"None, None, TitanicHydra",17,3.88
TFT8_Blitzcrank,"None, None, None",7235,4.51
TFT8_Blitzcrank,"ExoPrimeEmblemItem, None, None",17,5.06
TFT8_Blitzcrank,"None, None, RedBuff",23,5.7
TFT8_Camille,"InfinityEdge, TitansResolve, UnstableConcoction",19,3.05
TFT8_Camille,"Bloodthirster, InfinityEdge, TitansResolve",27,4.07
TFT8_Camille,"None, None, TitanicHydra",19,4.42
TFT8_Camille,"None, None, None",7248,4.52
TFT8_Chogath,"None, None, None",7238,4.51
TFT8_Draven,"None, None, None",7470,4.5
TFT8_Ekko,"GargoyleStoneplate, RedBuff, WarmogsArmor",14,3.21
TFT8_Ekko,"NegatronCloak, None, None",23,3.22
TFT8_Ekko,"None, None, Zephyr",21,3.29
TFT8_Ekko,"None, None, OxForceEmblemItem",23,3.39
TFT8_Ekko,"None, None, Redemption",17,3.41
TFT8_Ezreal,"None, None, None",7455,4.49
TFT8_Fiddlesticks,"IonicSpark, None, None",28,3.21
TFT8_Fiddlesticks,"None, None, Shroud",14,3.29
TFT8_Fiddlesticks,"Morellonomicon, None, None",27,3.63
TFT8_Fiddlesticks,"None, None, RabadonsDeathcap",12,3.92
TFT8_Fiddlesticks,"JeweledGauntlet, None, None",14,4.0
TFT8_Fiora,"None, None, Shroud",20,3.8
TFT8_Fiora,"None, None, None",7300,4.51
TFT8_Galio,"None, None, None",7279,4.5
TFT8_Gangplank,"None, None, Shroud",13,2.62
TFT8_Gangplank,"None, None, Zephyr",12,3.42
TFT8_Gangplank,"LocketOfTheIronSolari, None, None",13,4.08
TFT8_Gangplank,"NeedlesslyLargeRod, None, None",13,4.08
TFT8_Gangplank,"None, None, None",7133,4.52
TFT8_Janna,"None, None, Redemption",16,2.81
TFT8_Janna,"None, None, OrnnRanduinsSanctum",17,2.88
TFT8_Janna,"None, None, TearOfTheGoddess",15,3.2
TFT8_Janna,"None, None, SpearOfShojin",19,3.42
TFT8_Janna,"Chalice, None, None",20,3.6
TFT8_Jax,"Bloodthirster, JeweledGauntlet, Quicksilver",16,3.31
TFT8_Jax,"Bloodthirster, Quicksilver, RapidFireCannon",16,3.38
TFT8_Jax,"GuinsoosRageblade, Quicksilver, UnstableConcoction",26,3.42
TFT8_Jax,"GuinsoosRageblade, Quicksilver, TitansResolve",15,3.47
TFT8_Jax,"Bloodthirster, GuinsoosRageblade, Quicksilver",165,3.75
TFT8_Jinx,"None, None, None",7443,4.5
TFT8_Kaisa,"None, None, None",7171,4.48
TFT8_Kayle,"None, None, None",7437,4.5
TFT8_Leblanc,"None, None, Zephyr",21,3.48
TFT8_Leblanc,"None, None, StatikkShiv",47,3.66
TFT8_Leblanc,"HeartEmblemItem, None, None",17,3.82
TFT8_Leblanc,"None, None, ZekesHerald",15,3.93
TFT8_Leblanc,"None, None, RecurveBow",13,4.38
TFT8_LeeSin,"None, None, Zephyr",22,3.45
TFT8_LeeSin,"None, None, Shroud",30,3.77
TFT8_LeeSin,"None, None, TitanicHydra",23,3.83
TFT8_LeeSin,"None, None, ZekesHerald",17,3.94
TFT8_LeeSin,"None, None, RedBuff",15,4.13
TFT8_Leona,"None, None, SeraphsEmbrace",14,2.86
TFT8_Leona,"BrawlerEmblemItem, None, None",17,3.24
TFT8_Leona,"None, None, Shroud",16,3.56
TFT8_Leona,"None, None, UnstableConcoction",12,3.67
TFT8_Leona,"None, None, WarmogsArmor",19,3.68
TFT8_Lulu,"None, None, None",7433,4.5
TFT8_Lux,"None, None, None",7480,4.5
TFT8_Malphite,"None, None, Zephyr",16,3.25
TFT8_Malphite,"None, None, None",7215,4.52
TFT8_MissFortune,"None, None, None",7095,4.48
TFT8_MissFortune,"JeweledGauntlet, MadredsBloodrazor, SpearOfShojin",25,5.4
TFT8_MissFortune,"None, None, SpearOfShojin",14,6.07
TFT8_MissFortune,"JeweledGauntlet, None, SpearOfShojin",16,6.38
TFT8_Mordekaiser,"None, None, None",7100,4.54
TFT8_Nasus,"None, None, None",7394,4.5
TFT8_Nilah,"None, None, Redemption",12,4.0
TFT8_Nilah,"None, None, None",6965,4.51
TFT8_Nilah,"LocketOfTheIronSolari, None, None",18,4.89
TFT8_Nilah,"None, None, RedBuff",15,5.47
TFT8_Nunu,"GenAE, None, None",35,3.86
TFT8_Nunu,"IonicSpark, None, None",13,3.92
TFT8_Nunu,"None, None, RedBuff",23,3.96
TFT8_Nunu,"None, None, None",6714,4.6
TFT8_Nunu,"Morellonomicon, None, None",22,4.68
TFT8_Poppy,"None, None, None",7484,4.49
TFT8_Rammus,"None, None, None",7128,4.5
TFT8_Rammus,"BrambleVest, None, None",15,5.67
TFT8_Rammus,"None, None, RedBuff",14,6.14
TFT8_Rell,"None, None, None",7424,4.5
TFT8_Renekton,"None, None, Shroud",17,3.65
TFT8_Renekton,"ExoPrimeEmblemItem, None, None",14,4.0
TFT8_Renekton,"None, None, None",6965,4.53
TFT8_Renekton,"None, None, RedBuff",22,4.68
TFT8_Renekton,"None, None, Redemption",13,5.46
TFT8_Riven,"None, None, Shroud",13,3.15
TFT8_Riven,"IonicSpark, RedBuff, Redemption",13,3.38
TFT8_Riven,"None, None, Zephyr",12,3.92
